TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,1.30617,0.0854691,0.322792,0.0986709,0.577653,0.503057,1.95317,0.461349,0.260109,0.0874242,1.10653,0.689682
0.278639456,0.291041,0.152867,0.210878,2.07769,0.0262966,0.285336,0.84437,0.637999,0.110234,0.0226654,1.50231,0.958333
0.325079365,0.0639131,0.167621,0.0893212,2.1322,0,0.413011,0.326497,0.463295,0.0682636,0.0286809,0.531962,2.07209
0.371519274,0.229295,0.197997,0,2.36781,0.057283,0.0901877,0.728497,0.275926,0.0356997,0.0179867,0.346671,2.1835
0.417959184,0.227049,0.197205,0,2.5406,0.131839,0.0804409,0.941349,0.175956,0.0265678,0.102285,0.281998,2.29042
0.464399093,0.159434,0.153644,0.000757609,2.55239,0.204947,0.104245,1.03472,0.170349,0.0240314,0.247074,0.119604,2.41686
0.510839002,0.196761,0,0.0019832,2.55935,0.343367,0.121279,1.01828,0.168518,0.0215953,0.276532,0.0127624,2.64803
0.557278912,0.132632,0.00199764,0.022959,2.53089,0.229537,0.0420249,1.11174,0.17047,0.0154404,0.244521,0,2.99981
0.603718821,0.167237,0.00213845,0.0324729,2.52601,0.0419522,0.0248361,1.21345,0.187159,0.00906532,0.204887,0.0201424,3.2266
0.650158730,0.151148,0.117444,0,2.42418,0.0454607,0.0299239,1.33127,0.160749,0,0.159688,0.135371,3.20169
0.696598639,0,0.0143284,0,2.52732,0.0260932,0.039759,1.26442,0.275005,0.0688033,0.0943937,0.218003,3.25532
0.743038549,0,0.0193275,0.279431,1.8962,0.0109991,0.02832,1.14346,0.138055,1.44523,0.0507517,0.261359,2.99936
0.789478458,0,0.0416762,0.29129,1.62632,0.00732071,0.0297051,1.14936,0.094296,2.37069,0.0140689,0.233328,2.46883
0.835918367,0,0,0.303883,1.56116,0,0.0148567,1.08334,0.148524,2.84192,0.00723188,0.203646,2.00713
0.882358277,0.0424097,0,0.218782,1.549,0,0.00277038,1.01287,0.178636,2.97728,0.00960514,0.202414,1.8422
0.928798186,0.110276,0,0.152735,1.57675,0,0.00484573,1.03352,0.202231,2.98065,0.0133664,0.200995,1.86722
0.975238095,0.140345,0,0.14687,1.56196,0,0.0105932,1.03565,0.193578,2.96878,0.0158476,0.201632,1.952
1.021678005,0.155096,0.0785603,0.132889,1.48493,0.00259478,0.0291416,1.07611,0.185469,2.86844,0.0458433,0.276733,1.95744
1.068117914,0.0542871,0,0.00936839,1.41472,0.0164315,0.0479278,1.17849,0.15869,2.91242,0.131977,0.312862,2.04448
1.114557823,0.178904,0,0,1.29269,0.154891,0.047105,1.08958,0.0498722,3.03802,0.320004,0.13585,2.13186
1.160997732,0.217399,0,0.00589332,1.41088,0.370704,0.0429744,0.832874,0.0100784,3.12352,0.283844,0.115552,2.2178
1.207437642,0.228439,0,0.0646922,1.5833,0.387715,0.0288523,0.853568,0,3.07099,0.254567,0.105075,2.55746
1.253877551,0.23887,0,0.0646501,1.40054,0.348071,0,0.811268,0,3.00623,0.22778,0.074737,2.76865
1.300317460,0.245345,0,0.0733386,1.43476,0.224143,0.00666551,0.726353,0,2.97731,0.188979,0.0902035,2.9363
1.346757370,0.243658,0,0.0304347,1.53825,0.260028,0.0144549,0.674509,0.00906088,2.86196,0.228916,0,2.94917
1.393197279,0.23512,0.000356127,0,1.50611,0.256798,0.00624915,0.607918,0.0183876,2.68698,0.210859,0,2.93666
1.439637188,0.208749,0.0805373,0,1.69443,0.138357,0.0189651,0.39583,0.0236813,2.71416,0.12262,0.0103428,3.12654
1.486077098,0.122562,0.192521,0.02677,2.50962,0.371308,0.0328881,0.210396,0.213826,2.49897,0.0324597,0.118965,3.00598
1.532517007,0.0381933,0.253477,0.163322,2.94242,0.192817,0.0187251,0.0462596,0.389723,2.3586,0.0324882,0.14422,2.83068
1.578956916,0.104818,0.20049,0.139012,3.20063,0.0186266,0,0.000909514,0.399519,2.25802,0.0710556,0.457137,2.27944
1.625396825,0.437515,0.106261,0.178079,3.23469,0.0173283,0,0.0259136,0.351696,2.16171,0.122494,0.481878,1.93079
1.671836735,0.5544,0.0504141,0.251529,3.33003,0.0199643,0.0336002,0.0635297,0.248122,2.14699,0.170204,0.430353,1.87338
1.718276644,0.606534,0,0.289517,3.3028,0.0194765,0.0454825,0.19244,0.0977526,2.31142,0.305278,0.335898,1.8809
1.764716553,0.512948,0.0307217,0.230401,3.32914,0.0213959,0.0614549,0.303151,0.0171573,2.46874,0.515167,0.212881,2.00308
1.811156463,0.388954,0.126444,0.144355,3.49676,0.0308581,0.0514861,0.371341,0,2.40682,0.573944,0.0825883,2.29227
