TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0.696767,1.81098,0.218807,0.287662,0.022786,0.643232,0.413719,0,0.45267,0.431245,0.77619,0.675855
0.139319728,0.0949959,1.85731,1.34635,0.191441,0.0648059,0.927638,0,0,0.616882,0.0676122,0.77311,0.516678
0.185759637,0.0500543,1.58336,1.4715,0.24283,0.134764,0.05063,0.855467,0.20273,0.691115,0.476689,0.158683,0.467919
0.232199546,0.478584,1.76716,0.420215,0.093502,0.235477,0.196886,1.33133,0.121088,0.503641,0.960426,0,0.676113
0.278639456,0.114105,2.09662,0.224037,0.0263277,0.119929,0.220717,1.48392,0.145332,0.0263848,0.686161,1.37877,0.188198
0.325079365,0.0952647,2.26404,0.194505,0.0182501,0.258577,0.930181,1.04718,0.0992278,0.0282338,0.431018,2.19584,0
0.371519274,0.0582293,2.61038,0.226956,0.00844319,0.319017,1.32088,0.772198,0.0189893,0.0283975,0.259062,2.48511,0.0591201
0.417959184,0,3.01195,0.247433,0.00264867,0.241315,1.63138,0.61146,0,0.0771178,0.245835,2.54284,0.108303
0.464399093,0,3.27692,0.221568,0.000101604,0.0174633,2.24705,0.244085,0,0.260152,0.233571,2.41884,0.084176
0.510839002,0,3.35551,0.146017,0,0.0179432,2.44814,0.173996,0,0.337712,0.259972,2.30731,0.0334058
0.557278912,0,3.49379,0.208504,0,0.015022,2.36513,0.0871182,0,0.373001,0.327136,2.32029,0.0220557
0.603718821,0,3.73058,0.0619144,0,0.00390715,2.29828,0.0101111,0.00712,0.383276,0.41191,2.36876,0.0607796
0.650158730,0,3.81937,0.00183689,0.00756749,0,2.4808,0,0,0.375155,0.420701,2.29343,0.0802515
0.696598639,0,3.81257,0.00287952,0.000957091,0,2.5346,0,0,0.345933,0.444095,2.46606,0.0906728
0.743038549,0,3.77667,0.0639178,0,0,2.67415,0,0,0.349757,0.486909,2.50154,0.0981792
0.789478458,0.0285538,3.82877,0.205078,0,0,2.47692,0.0324272,0,0.449789,0.333303,2.6598,0
0.835918367,4.59107e-05,3.72523,0.0895773,0,0,2.3483,0.196469,0,0.400326,0.243437,2.60253,0
0.882358277,0,3.65919,0.00408174,0,0.08366,2.02759,0.17885,0,0.404067,0.241505,2.48676,0.156214
0.928798186,0,3.52574,0.000284982,0,0,2.21772,0.258993,0,0.409657,0.159277,2.46807,0.108367
0.975238095,0,3.43554,0.0861085,0,0,2.27319,0.198142,0,0.393894,0.127986,2.50859,0.0900699
1.021678005,0,3.49304,0.49692,0,0,2.25047,0.0776743,0,0.39934,0.0607766,2.45572,0.0793306
1.068117914,0,3.67908,0.528328,0,0,2.25226,0.0398388,0,0.433865,0.0128812,2.38275,0.0691107
1.114557823,0,3.42677,0.220311,0,0.0421386,1.95347,0,0,0.376899,0.235838,2.38024,0.0710561
1.160997732,0.120667,3.02728,0.483273,0.00266288,0.0670943,0.92857,0,0.0117559,0.663963,0.549076,1.99416,0.093105
1.207437642,0.35304,2.63421,0.547963,0.191828,0.0142909,1.03413,0.0235611,0.0566332,0.682313,0.448751,1.51378,0.321051
1.253877551,0.250393,2.34488,0.531312,0.211962,0.0915254,1.44718,0.0437729,0.0317183,0.697267,0.209345,1.57878,0.41488
1.300317460,0.0522955,2.59754,0.374855,0.0799854,0.0760459,1.80492,0.083463,0.0187295,0.652755,0.208814,1.8392,0.177645
1.346757370,0,2.92697,0.130998,0.0225259,0.0079658,2.47455,0.064163,0.501874,0.551632,0.20661,1.94934,0.166329
1.393197279,7.10936e-05,3.43826,0,0.0183463,0.00269864,2.91032,0.0177059,0.764989,0.380398,0.22149,1.84749,0.142179
1.439637188,0,3.64481,0.000370235,0.0172133,0,2.67835,0.0187191,1.56611,0.258443,0.107053,1.83115,0.0682705
1.486077098,0,3.23455,0.033767,0.0104655,0,1.64924,0.0470281,2.08319,0.40168,0.0210329,2.22754,0.0649004
1.532517007,0,3.04022,0.111695,0.00472846,0,1.17755,0,2.2111,0.426057,0.0262605,2.22674,0.0705531
1.578956916,0,2.92443,0.135838,0.00139219,0,1.07215,0,2.28051,0.274575,0.0633307,2.28258,0.078289
1.625396825,1.73926e-05,2.83456,0.143132,0,0,1.13066,0,2.29803,0.0129496,0.101133,2.35775,0.0851938
1.671836735,0.0479841,2.61957,0.145136,0.0887561,0,1.13448,0,2.27498,0.0536002,0.108157,2.50278,0.00958777
1.718276644,0.206152,2.43703,0.22846,0.260062,0.0141337,1.40206,0.0219925,2.20882,0.0586883,0.085939,2.49319,0.000240715
1.764716553,0.172077,2.18867,0.337193,0.292374,0.0277025,1.51034,0.117282,1.9863,0,0.115407,2.35629,0.000100654
1.811156463,0.183172,1.73186,0.265561,0.210563,0.0229525,2.35114,0.181988,1.62004,0,0.135123,2.36521,0
