TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0.27386,1.07816,0.222351,0.348258,0.847774,0.773584,1.00782,0.238855,0.0955427,1.43028,0.46616,0
0.278639456,0.224845,0.899386,0.179363,0.320332,0.87492,0.678342,0.769216,0.222591,0.123834,1.28206,0.493007,0
0.325079365,0.392889,0.77291,0.339127,0.428452,0.59281,0.747027,0.320722,0.142392,0.0219541,1.47549,0.185956,0.0955203
0.371519274,0.287386,0.767691,0.444107,0.537709,0.554377,0.750786,0.247245,0.414258,0.226504,0.961134,0.0194678,0.349289
0.417959184,0.130222,0.700814,0.636304,0.564268,0.374453,0.829748,0.403334,0.552493,0.389116,0.945452,0.0013643,0.86691
0.464399093,0.382147,0.715151,1.06146,0.451912,0.0429016,1.1392,0.146373,0.341511,0.383211,1.25251,0.00140418,1.01757
0.510839002,0.532326,1.18756,1.27859,0.194626,0.0689338,1.1984,0.0384554,0.184143,0.494675,1.39443,0.0013828,0.724338
0.557278912,0.373768,1.10883,1.43139,0.105427,0.294855,1.28623,0.195573,0.509531,0.595484,1.27987,0.0727782,0.047901
0.603718821,0.48628,0.858523,1.78751,0.0589461,0.395119,1.06771,0.326159,0.382119,0.418493,0.74083,0.276437,0.57059
0.650158730,0.191069,0.86917,1.72901,0.0197723,0.490676,0.850195,0.491132,0.250806,0.340356,0.340621,0.141795,0.855973
0.696598639,0.0898516,0.691967,0.940044,0.111178,0.201136,1.27267,0.401684,0.409137,0.627655,0.326754,0.122232,1.03743
0.743038549,0.2732,0.80744,0.953797,0.196749,0.0663579,1.62019,0.195524,0.732523,0.967806,0.532382,0.101569,0.861733
0.789478458,0,0,0,0,0,0,0,0,0,0,0,0
0.835918367,0,0,0,0,0,0,0,0,0,0,0,0
0.882358277,0,0,0,0,0,0,0,0,0,0,0,0
0.928798186,0,0,0,0,0,0,0,0,0,0,0,0
0.975238095,0,0,0,0,0,0,0,0,0,0,0,0
1.021678005,0,0,0,0,0,0,0,0,0,0,0,0
1.068117914,0,0,0,0,0,0,0,0,0,0,0,0
1.114557823,0,0,0,0,0,0,0,0,0,0,0,0
1.160997732,0,0,0,0,0,0,0,0,0,0,0,0
1.207437642,0,0,0,0,0,0,0,0,0,0,0,0
1.253877551,0,0,0,0,0,0,0,0,0,0,0,0
1.300317460,0.96689,0.278861,0.406173,1.03156,0.386377,0.368832,0.0811102,0.341073,0.646752,1.24418,0.502784,0.906116
1.346757370,0.695641,0.499987,0.383332,1.0488,0.292256,0.723941,0.0995101,0.436876,0.231998,1.63263,0.162515,0.932735
1.393197279,0.156904,0.978198,0.462106,0.819628,0.353338,1.13868,0.0963186,0.573842,0.127346,1.64979,0.302276,0.622058
1.439637188,0.195714,0.886123,0.136407,0.564193,0.28621,1.11223,0.253489,0.777688,0.0950251,1.09041,0.37517,0.439678
1.486077098,0.741497,0.594607,0.32358,0.298819,0.266118,0.603664,0.521752,0.400463,0.24718,0.553127,0.416679,0.13523
1.532517007,0,0,0,0,0,0,0,0,0,0,0,0
1.578956916,0,0,0,0,0,0,0,0,0,0,0,0
1.625396825,0,0,0,0,0,0,0,0,0,0,0,0
1.671836735,0,0,0,0,0,0,0,0,0,0,0,0
1.718276644,0.951424,0.513848,0.589802,0.136734,0.801787,0.4618,0.55021,0.0477677,0.381776,0.523866,0.915463,0.0375646
1.764716553,0.630653,0.422028,0.768925,0.0379057,1.03365,0.949942,0.414541,0.0939431,0.256184,0.651396,0.801858,0.0211085
1.811156463,0.340385,0.612565,0.795767,0.0258767,0.543559,1.12389,0.276686,0.21175,0.338835,0.767522,0.718375,0.165124
1.857596372,0,0,0,0,0,0,0,0,0,0,0,0
1.904036281,0,0,0,0,0,0,0,0,0,0,0,0
1.950476190,0,0,0,0,0,0,0,0,0,0,0,0
1.996916100,0.105829,0.468594,0.172322,0,0.807289,0.798264,0.142912,0.287517,0.400123,1.40907,0.116799,1.67223
2.043356009,0,0.510893,0.383323,0.0119505,0.926302,1.08326,0,0.959328,0.589753,0.641788,0.183202,1.62189
2.089795918,0.0565997,1.06192,0.286458,0.00495938,0.919745,0.78371,0.000411826,1.66872,0,0.467943,1.39975,0.891188
2.136235828,0.481607,1.17491,0.33717,0.012316,0.460664,0.316766,0.0764373,1.71442,0,0.468843,1.94654,0.507428
2.182675737,0.679098,1.20875,0.428293,0.137166,0.289208,0.100907,0.0635819,1.69247,0,0.526265,1.97807,0.617736
2.229115646,1.18991,1.62254,0.300937,0.57682,0.154128,0.403882,0.121639,1.40154,0.00344175,0.383975,1.61263,0.614412
