TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.023219955,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.046439909,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.069659864,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.092879819,-618.756,-18.8672,-3.15237,-0.43364,0.164051,0.968609,1.05763,0.675283,-0.944488,-0.955255,-2.00217,0.676652,1.24287,3.55512,3.19149,0.201394,3.52568,0.658692,0.331739,0.688916,-2.05435
0.116099773,-478.589,0.889908,13.0542,14.7954,5.47258,11.2941,1.79215,6.27071,0.967071,2.84335,0.0229133,-0.832788,2.41546,-2.43307,-1.70664,-1.65619,1.23737,2.86205,1.29385,0.211841,-1.055
0.139319728,-480.261,0.106242,9.47944,14.7456,4.62848,8.96701,1.85487,6.0216,0.663997,3.60311,3.27141,2.69225,2.48997,1.52081,4.32984,3.66801,3.45944,2.1371,1.45752,-0.03598,0.301213
0.162539683,-481.46,-0.148627,8.99514,14.0086,4.66735,9.48128,1.59557,5.14267,-0.294614,3.57798,3.06634,2.08036,3.46396,1.24306,4.17436,4.10711,5.00461,-1.18488,-0.0335622,1.21966,-1.72726
0.185759637,-459.871,6.56804,13.7804,8.05833,4.83127,6.11799,-0.460974,2.89131,0.170402,3.69303,0.843571,4.8218,2.76088,4.19121,2.96207,3.41163,1.473,1.25123,-0.773965,1.26,-1.04116
0.208979592,-375.367,6.9468,13.1431,4.86982,2.84923,8.92072,2.45032,2.18358,-1.17977,3.95995,-1.20826,3.55216,-2.36289,2.41804,-0.685124,3.72283,-3.06514,0.671651,-4.71526,-0.268531,-2.25718
0.232199546,-231.728,-15.4838,6.48059,4.70876,1.45029,1.72124,0.961289,4.79713,0.80456,3.53192,-4.0372,2.75922,-3.79796,1.37603,-1.18827,2.82366,-1.25808,2.17613,-3.89537,-0.0892632,-1.19221
0.255419501,-242.822,-0.240938,16.522,11.118,7.40419,7.84824,3.06154,9.60909,2.05376,5.47797,-2.96462,4.8728,-4.04889,0.117293,-2.12839,5.41965,-0.938024,4.1969,-1.94995,1.12928,-2.14576
0.278639456,-228.077,10.5477,11.0037,7.37202,-2.06501,8.76857,-0.923734,5.0581,-4.01091,6.87048,-4.85053,0.691745,-6.2945,0.610524,-4.56565,4.13629,-0.244949,4.57969,0.511427,4.61394,-0.745606
0.301859410,-241.17,16.1908,10.024,11.0144,-0.230484,9.4371,-4.88375,9.21109,-4.21275,8.9248,-4.63013,5.01837,-7.6209,-0.877411,-5.0376,2.85836,-7.47119,3.25978,-1.24411,1.30603,-4.97721
