Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3rKjT23XeGg3pbqE1T1fpd,"Breathe","Breathe","Malcolm Todd",2026-03-13,176413,73,false,,2026-03-13T04:00:45Z,"","Columbia",0.77,0.256,4,-9.562,0,0.0345,0.193,0.00375,0.0959,0.594,109.987,4
spotify:track:6sGIMrtIzQjdzNndVxe397,"So Easy (To Fall In Love)","The Art of Loving","Olivia Dean",2025-09-26,169000,97,false,,2026-02-27T05:00:32Z,"popsoul","PLG - Capitol",0.749,0.633,3,-5.917,1,0.0373,0.665,0,0.0817,0.572,139.898,4
spotify:track:0qWoOHqTirzo59FQ9eoECH,"All I Did Was Dream of You (feat. The Marías)","All I Did Was Dream of You (feat. The Marías)","beabadoobee;The Marías",2026-03-12,223788,76,false,,2026-03-13T04:00:45Z,"bedroompop","beabadoobee",0.408,0.541,9,-7.881,1,0.0269,0.118,0.00544,0.14,0.214,165.917,4
spotify:track:75GyGLjB9yFLTVltUlDVKI,"dirty wedding dress","dirty wedding dress","Bleachers",2026-03-10,289424,64,true,,2026-03-13T04:00:45Z,"","Dirty Hit",0.728,0.789,1,-5.083,1,0.0336,0.4,0,0.116,0.86,117.027,4
spotify:track:2eJgPy6PMKUeG2iCQady4O,"Familiar Hell","Worst Person in the World","Carol Ades",2026-03-06,169463,48,false,,2026-03-06T05:00:23Z,"","broke",0.604,0.789,4,-7.64,1,0.0421,0.166,0,0.565,0.468,137.955,4
spotify:track:7tICCrK3CcyRFKza7yrR0z,"Homewrecker","Homewrecker","sombr",2026-02-05,209066,92,false,,2026-02-27T05:00:32Z,"","Warner Records",0.459,0.917,1,-2.517,1,0.0531,0.0457,0,0.165,0.528,99.992,4
spotify:track:0Rdt95TmRN3kzIesX6mUl4,"Feel Something","Feel Something","Baby Queen",2026-03-13,189898,46,true,,2026-03-13T04:00:45Z,"","Insanity Records",0.561,0.86,7,-4.806,1,0.087,0.014,0.0241,0.547,0.592,114.994,4
spotify:track:5IMpnpD0tQVcqWlVIgtAtV,"iloveitiloveitiloveit","iloveitiloveitiloveit","Bella Kay",2026-01-11,183237,91,true,,2026-02-27T05:00:32Z,"","2026 Bella Kay",0.615,0.327,6,-8.13,0,0.0332,0.735,0.0000309,0.112,0.382,143.198,4
spotify:track:5ViLKrbyL3HD6wsq3AB9eI,"White Keys","White Keys","Dominic Fike",2025-11-14,144101,89,false,,2026-02-27T05:00:32Z,"","Columbia",0.712,0.547,11,-8.514,0,0.194,0.788,0.0000181,0.15,0.841,81.978,4
spotify:track:59c2xv2kMzYM6HR9oY6BIa,"Sweet Boy","Sweet Boy","Malcolm Todd",2024-04-05,180000,85,true,,2026-02-27T05:00:32Z,"","Columbia",0.774,0.371,5,-9.54,0,0.0309,0.367,0.00000275,0.298,0.707,88.013,4
spotify:track:7MZHqgTVTnN6xZGYAcEEAf,"Rein Me In (with Olivia Dean)","Rein Me In (with Olivia Dean)","Sam Fender;Olivia Dean",2025-06-20,339410,85,true,,2026-02-27T05:00:32Z,"popsoul","Polydor Records",0.506,0.813,1,-5.639,0,0.0375,0.0491,0.0000671,0.3,0.578,124.008,4
