TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
0.603718821,0,0,0,0,0,0,0,0,0,0,0,0
0.650158730,0,0,0,0,0,0,0,0,0,0,0,0
0.696598639,0,0,0,0,0,0,0,0,0,0,0,0
0.743038549,0,0,0,0,0,0,0,0,0,0,0,0
0.789478458,0,0,0,0,0,0,0,0,0,0,0,0
0.835918367,0,0,0,0,0,0,0,0,0,0,0,0
0.882358277,0,0,0,0,0,0,0,0,0,0,0,0
0.928798186,0,0,0,0,0,0,0,0,0,0,0,0
0.975238095,0.520253,0.606268,1.78396,0.391297,0.00411939,0.168231,1.09309,0.537974,0.0813206,0.866468,0.610956,1.009
1.021678005,0.00311452,1.05966,0.355596,0.228896,0.161499,0.539858,0.291458,1.16603,0.125108,1.05878,0.733204,1.29093
1.068117914,0.0298583,0.846059,0.57131,0.229951,0.311603,0.307747,0.884831,1.30818,0,1.34446,0.620795,1.28596
1.114557823,0.0524012,0.750708,0.877081,0.180357,0.39947,0.385433,1.09489,0.96886,0.00128782,1.40642,0.456289,1.68227
1.160997732,0.0812666,0.401256,1.10535,0.16992,0.44597,0.234195,1.28446,0.506493,0.00219421,1.29467,0.414749,2.24606
1.207437642,0.0284138,0.00229993,1.3076,0.14772,0.393014,0.092483,2.25244,0.13943,0.00732845,0.930037,0.322727,2.4036
1.253877551,0.0584886,0,1.67979,0.116051,0.306194,0.0166569,2.6603,0,0,0.569068,0.231991,2.55629
1.300317460,0.112856,0,1.99679,0.119716,0.224766,0.00791949,2.78397,0,0,0.237315,0.242142,2.70683
1.346757370,0.16419,0.103666,1.83006,0.165,0.184018,0.00289285,2.70555,0.192698,0,0.196878,0.182824,2.74341
1.393197279,0.194782,0.16777,1.24731,0.250138,0.140593,0.00198018,2.40671,0.505684,0,0.249659,0.179441,2.61866
1.439637188,0.238144,0.0952642,0.685062,0.213742,0.0918244,0,2.25931,0.702704,0,0.284795,0.248936,2.68678
1.486077098,0.199952,0.0231343,0.560835,0.283665,0.0398437,0,2.40183,0.660652,0,0.245385,0.250097,2.69475
1.532517007,0.239707,0.00215044,0.970768,0.17277,0.00548801,0,2.24686,0.551747,0.0222677,0.213832,0.205913,2.62041
1.578956916,0.33534,0.00169095,1.4268,0.167031,0,0,2.49367,0.164129,0.0175455,0.371215,0.121261,2.53899
1.625396825,0.28555,0.0544816,1.64301,0.211636,0.0124731,0,2.43403,0.0459795,0,0.49765,0.113603,2.56967
1.671836735,0.159873,0.200264,1.90109,0.049071,0.0392499,0,2.38231,0.0438778,0,0.64505,0.0790477,2.70377
1.718276644,0.0522177,0.105235,1.91417,0,0.0566847,0,2.53118,0.053629,0,0.408889,0.0115534,2.90166
1.764716553,0.0404782,0.0564431,1.90305,0,0.0939495,0,2.70506,0.0371927,0.0188295,0.125772,0.0238719,3.07846
1.811156463,0.0412503,0.0716283,1.75483,0,0.0455515,0.0249674,2.78836,0,0.0281041,0.158928,0.115098,3.19871
1.857596372,0.054271,0.108646,1.80974,0,0.0671042,0.0313099,2.69442,0,0.00443571,0.467711,0.20023,3.22525
1.904036281,0.0931172,0.123975,1.7196,0,0.136664,0.0358652,2.41362,0,0.0293992,0.683357,0.130468,3.34129
1.950476190,0.14693,0.149232,1.55479,0,0.208889,0.0507185,2.20071,0.00623,0.0622193,0.699769,0.0557263,3.24616
1.996916100,0.110624,0.208807,1.46616,0,0.302199,0.0104553,1.99446,0.119137,0.0563344,0.538554,0.0105622,2.91912
2.043356009,0.0906451,0.195278,1.23614,0.0166517,0.395094,0.00931722,2.23219,0.218106,0,0.663055,0.0817562,2.67716
2.089795918,0.10332,0.287659,1.11091,0.00447618,0.402201,0,2.3349,0.0705068,0,0.83214,0,2.61491
2.136235828,0.150271,0.220019,1.03503,0,0.266082,0,2.28105,0.0644198,0,0.938041,3.39693e-05,2.6821
2.182675737,0.169928,0.223908,1.2219,0,0.142767,0,2.47182,0.0401812,0,0.843829,0.00962626,2.56165
2.229115646,0.149972,0.286101,1.39193,0.00948118,0.110232,0,2.64191,0,0.0768386,0.811879,0.140493,2.61104
