TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0.174914,0.635419,0.679363,0.662015,0.287283,0.939935,0.715323,0.060228,0.16175,0.121734,0.107418,0.520533
0.128000000,0.22415,0.692387,0.319426,0.514581,0.314969,1.04195,1.51816,0.0417293,0.135195,0.175735,0.112664,0.209815
0.170666667,0.113638,0.672613,0.173346,0.325871,0.275939,1.12109,1.59149,0.0371883,0.114259,0.210347,0.0953551,0.0879295
0.213333333,0.0793791,0.563324,0.1694,0.209108,0.252677,1.113,1.56631,0.043639,0.142144,0.129263,0.143314,0.0750187
0.256000000,0.0815927,0.497299,0.169253,0.156869,0.383932,1.03044,1.36443,0.0400458,0.175539,0.126592,0.168904,0.109682
0.298666667,0.260606,0.295958,0.160266,0.141522,0.516073,0.991967,0.969807,0.0541394,0.304941,0.249712,0.267784,0.139979
0.341333333,0.134684,0.0821646,0.0963376,0.099792,0.405548,1.2308,1.64439,0.0254857,0.511235,0.455601,0.166705,0.142801
0.384000000,0.702741,0.498301,0.112998,0.0609368,0.116591,0.578759,1.8376,0,0.399988,0.35219,0.278809,0.443707
0.426666667,0.730427,0.724753,0.0588838,0.0496551,0,0.0140697,2.69384,0,0.36445,0.324835,0.333871,0.717755
0.469333333,0.522478,0.927262,0.0252033,0.0743807,0,0.0291001,3.09953,0.000876387,0.35403,0.221483,0.317115,0.650143
0.512000000,0.604341,0.93725,0.0577791,0.0936488,0,0.10354,3.30544,0.00280117,0.356568,0.167801,0.17289,0.490419
0.554666667,0.627625,0.89346,0.1273,0.0945733,0,0.115624,3.27887,0.0146031,0.306512,0.175617,0.14847,0.233059
0.597333333,0.384873,0.741695,0.041623,0.0654124,0.102611,0.70697,3.00464,0.0412335,0.0315158,0.462978,0.231095,0.048777
0.640000000,0.502619,0.460277,0.0573539,0.0067937,0.230569,1.51409,2.37619,0.0631412,0.13121,0.4789,0.39777,0.0806999
0.682666667,0.722934,0.50322,0.0699362,0.00786949,0.107522,2.11769,1.65705,0.0735799,0.267989,0.256705,0.495544,0.113752
0.725333333,0.650637,0.545644,0.0689612,0.0102035,0.232202,2.45833,1.09102,0.0634805,0.407982,0.099531,0.735446,0.144651
0.768000000,0.62643,0.297652,0.138163,0.0109236,0.157854,2.02794,1.23152,0.0757846,0.398764,0.107801,0.861495,0.169203
0.810666667,0.548129,0.196968,0.234054,0.00880836,0.107778,1.92158,1.10284,0.0600127,0.409145,0.0775954,0.929166,0.187038
0.853333333,0.819784,0.0893759,0.262967,0.00563613,0.0835595,1.9609,0.554901,0.066921,0.492538,0.0493789,0.77318,0.204894
0.896000000,0.868756,0.0589213,0.259861,0.00545042,0.255223,1.97685,0.483535,0.0680186,0.477327,0.00151137,0.644035,0.153941
0.938666667,0.826394,0.0568909,0.24419,0.208799,0.299102,2.05464,0.477311,0.0647367,0.56053,0.351966,0.499109,0.182093
0.981333333,0.956671,0.132155,0.192502,0.20698,0.82854,1.29688,0.517728,0.167489,0.635598,0.280166,0.483972,0.201098
