TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0,0,0,0,0,0,0,0,0,0,0,0
0.213333333,0,0,0,0,0,0,0,0,0,0,0,0
0.256000000,1.08135,0.117678,0.342416,0.0339064,0.18031,0.528945,1.92402,0.656299,0.270961,0.0699699,1.13689,0.845338
0.298666667,0.243329,0.176453,0.202971,2.08144,0.00622994,0.306353,0.642956,0.615416,0.093165,0.00407336,1.39568,1.14895
0.341333333,0.0117194,0.205269,0.0897664,2.12978,0.00438855,0.431898,0.402941,0.43277,0.0793841,0.0240852,0.522319,2.13183
0.384000000,0.0784062,0.211221,0,2.32907,0.0217975,0.154084,0.810373,0.29404,0.0706915,0.0254666,0.430249,2.17509
0.426666667,0.120271,0.186213,0.000596261,2.49303,0.0251175,0.140243,0.97055,0.173004,0.0527082,0.194845,0.226832,2.30058
0.469333333,0.175269,0.115258,0.000931262,2.57763,0.03269,0.166867,1.02459,0.143416,0.0235519,0.331136,0.115097,2.44337
0.512000000,0.182874,0,0.000996633,2.60598,0.117303,0.0957679,1.0297,0.141325,0.0343501,0.357973,0.00219764,2.67272
0.554666667,0.12319,0,0.052188,2.53706,0.184958,0.04818,1.07627,0.154934,0.0163561,0.281177,0,3.02632
0.597333333,0.0443645,0.00269523,0.0596936,2.54323,0.102146,0.0418004,1.10672,0.157899,0.0167512,0.196606,0.000185395,3.28708
0.640000000,0.0867572,0.095173,0.00110265,2.38175,0.0699497,0.0330601,1.21784,0.147503,0.00167108,0.196938,0.0439792,3.3056
0.682666667,0,0.0363129,0,2.49687,0.030007,0.0372726,1.35503,0.224133,0,0.178638,0.12455,3.16443
0.725333333,1.43069e-05,0,0.218075,2.28798,0.0177073,0.0241889,1.17633,0.233003,0.654662,0.0722621,0.230406,3.21454
0.768000000,0.00015138,0.0225798,0.296901,1.75875,0.0105637,0.026677,1.18278,0.0816676,1.86962,0.0203507,0.25285,2.78398
0.810666667,5.53513e-05,0.00188755,0.269054,1.60532,0.00658399,0.0316996,1.17599,0.0900232,2.55253,0.0405616,0.197073,2.22638
0.853333333,0,0.000955234,0.218987,1.58757,0,0.0439649,1.08943,0.11678,2.86571,0.0344516,0.20259,1.93147
0.896000000,0.0252528,0.000111207,0.111184,1.61302,0,0.00310505,1.0665,0.179061,2.97377,0.0128382,0.196756,1.82388
0.938666667,0.0907637,0,0.087313,1.5943,0,0.00611312,1.14429,0.21145,2.97238,0.0152908,0.19091,1.81863
0.981333333,0.136147,0,0.17106,1.50897,0,0.00700208,1.0771,0.196689,2.96046,0.0171674,0.192339,1.90535
1.024000000,0.172636,0.177474,0.00416839,1.5258,0.00197923,0.104721,1.14256,0.202233,2.76304,0.01771,0.242539,1.89161
1.066666667,0.119296,0.025544,0,1.40505,0.0161442,0.148138,1.21983,0.169949,2.87888,0.0962848,0.28543,1.95078
