TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0.0740361,0.0017499,0.978691,0.313234,1.32169,0.0964532,0.160485,0.0847522,1.03418,0.214378,1.87841,1.42018
0.128000000,0.0281571,0.00356798,0.913324,0.285678,1.2283,0.341243,0.100642,0.0939396,0.8155,0.303782,1.80668,1.23989
0.170666667,0.0972951,0.13181,0.793131,0.196633,1.26702,0.733464,0.246193,0.0642251,0.732722,0.307223,1.6857,0.947446
0.213333333,0.0857536,0.119594,0.821482,0.107458,1.12875,0.884807,0.347406,0.136262,1.16515,0.260858,1.6328,0.884747
0.256000000,0.0132559,0.165794,0.760138,0.427072,0.76369,0.931879,0.398986,0.304483,1.52875,0.221844,1.38641,0.910359
0.298666667,0.000548176,0.517152,0.926584,0.572724,0.533981,0.934692,0.100133,0.536071,1.71484,0.23785,1.28196,0.849527
0.341333333,0.000667279,0.729846,1.23304,0.374678,0.400637,0.782008,0.166417,0.181163,1.71244,0.312303,1.27108,0.726159
0.384000000,0.000799274,0.475406,1.30927,0.507461,0.556471,0.949486,0.162875,0.209971,1.45178,0.255755,1.29288,0.719552
0.426666667,0.000713935,0.380098,1.40609,0.549522,0.539415,1.14998,0.0912228,0.55985,1.32065,0.101421,1.61355,0.743844
0.469333333,0.000618458,0.558272,1.59851,0.528982,0.749741,1.14113,0.0539992,0.497048,1.21808,0.294264,1.74353,0.930722
0.512000000,0.000588606,1.06448,1.41533,0.53398,0.806819,0.96649,0.386768,0.31672,1.07643,0.50371,1.60316,0.980899
0.554666667,0.000560603,1.36123,1.40801,0.297739,0.709637,0.900019,0.563268,0.218057,1.30351,0.21809,1.24594,0.95248
0.597333333,0.000553352,0.701546,1.91811,0.42095,0.194643,1.03654,0.476382,0.124822,1.54003,0.0759519,1.05621,0.980149
0.640000000,0.000599985,0.301783,1.85077,0.59462,0,1.05359,0.191196,0.0721627,1.70806,0.0205566,1.21729,1.0135
0.682666667,0.000738711,0.335722,1.42746,0.512745,0.161479,1.00366,0.29807,0.186239,1.75171,0.00593992,1.22849,1.12701
0.725333333,0.0118062,0.339506,1.40485,0.501277,0.370643,1.01245,0.426351,0.0892535,1.67523,0.00283379,1.02408,1.05761
0.768000000,0.0383716,0.236825,0.992619,0.538802,0.586768,0.987543,0.364004,0.04442,1.76427,0.000831373,0.952416,0.871084
0.810666667,0.0185813,0.14289,0.718344,0.768062,0.692862,0.940846,0.387634,0.0711708,1.71929,0.036356,0.946157,0.930571
0.853333333,0.0326339,0.114665,0.714473,0.58162,0.724091,0.935046,0.643587,0.0874917,1.55502,0.148774,0.872671,1.08627
0.896000000,0.0515443,0.134309,0.89844,0.377895,0.863219,0.863028,0.705147,0.0601124,1.43098,0.142746,0.888136,1.19126
0.938666667,0.13555,0.240794,0.99536,0.547532,0.873741,0.773882,0.552489,0.0485148,1.63477,0.0373779,1.07903,1.03098
0.981333333,0.29811,0.235512,1.04646,0.797222,0.725662,0.801683,0.399539,0.0335879,1.78347,0.0668615,1.09841,0.993542
