TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.875374,0.343251,0.97743,1.36618,0.494645,0.185974,0.286234,0.815886,1.55014,1.18248,0.705127,1.84723
0.042666667,0.873576,0.36597,0.868224,1.37278,0.484976,0.196233,0.285221,0.789586,1.49394,1.20583,0.763433,1.78808
0.085333333,0.812609,0.392682,0.760324,1.37772,0.324988,0.208261,0.308758,0.784088,1.44301,1.23981,0.764667,1.77187
0.128000000,0.627944,0.258149,0.776834,1.29237,0.126894,0.76842,0.316597,0.342912,1.84418,0.805717,0.7582,2.06755
0.170666667,1.32496,0.128009,1.32041,0.755771,0.158949,1.6276,0.666265,0.124987,1.83418,0.577147,0.854477,1.86244
0.213333333,1.52251,0.188836,1.19168,0.649213,0.0671547,1.39267,0.643364,0.0964484,1.54417,0.583702,0.915647,1.71785
0.256000000,1.4822,0.367885,0.882297,0.355006,0.475497,0.594937,0.697707,0.0855366,1.90516,0.39576,1.07487,1.42944
0.298666667,1.14225,0.947106,0.712502,0.362979,0.613008,0.496609,0.908954,0.110365,1.57984,0.398523,1.04308,0.481146
0.341333333,1.81924,1.10747,0.766465,0.00652345,0.759012,1.28366,0.776414,0.155792,0.653966,0.33121,1.34376,1.22882
0.384000000,1.60883,1.24091,0.564115,0.255698,1.03162,1.57672,0.620754,0.341949,0.638414,0.284066,1.16486,1.5021
0.426666667,1.09738,0.898747,0.477299,0.313462,0.950491,1.80329,0.589495,0.438473,1.0883,0.336111,1.42179,1.24428
0.469333333,0.886095,0.535051,0.466011,0.612905,1.02751,1.80913,0.572734,0.582315,1.45039,0.321371,1.28989,1.11141
0.512000000,1.56061,0.354492,0.451943,0.677293,1.1294,1.64506,0.602033,0.409929,1.64232,0.182764,1.45104,1.08114
0.554666667,2.04885,0.557865,1.16171,0.609418,1.34032,1.1935,0.944025,0.321961,1.55243,0.17596,1.81976,0.579515
0.597333333,2.54527,1.17381,1.227,0.202686,1.42614,0.538665,0.933922,0.652899,1.40969,0.0578442,1.44517,0.807916
0.640000000,3.00348,1.00872,0.709724,0.277122,1.54023,0.0869989,1.06005,0.636415,0.841689,0.345475,0.671391,0.970845
0.682666667,2.21866,0.749231,0.654938,0.343638,1.43803,0.333849,1.94095,0.175791,0.400574,0.256608,1.47334,0.882889
0.725333333,1.01496,0.946453,0.54512,0.244051,1.48653,0.458239,1.12543,0.0994516,0.400747,0.660084,1.55412,0.98917
0.768000000,0.910614,1.25844,0.467036,0.10715,1.36954,1.17073,0.849029,0.0925715,1.10574,0.39545,1.87431,1.07785
0.810666667,0.810122,0.32787,1.26365,0.0999292,1.02572,1.13619,0.532807,0.565585,1.11691,0.194717,1.57293,2.29117
0.853333333,0.904659,0.127107,1.55875,0.363861,0.914506,1.08969,0.353752,0.587523,1.20155,0.225573,1.21426,2.84938
0.896000000,0.931246,0.187008,1.58809,0.446225,0.948478,1.17699,0.0679258,0.600402,1.21173,0.113509,1.19289,2.96608
0.938666667,0.987122,0.204224,1.55904,0.450431,0.909852,1.32112,0.062415,0.583432,1.21043,0.139281,1.04148,3.02025
0.981333333,1.08393,0.207105,1.50582,0.391609,0.751245,1.5427,0.264754,0.501901,1.14632,0.114253,0.783089,3.05823
1.024000000,0.926803,0.215145,0.907005,0.222548,1.2913,1.50064,0.513908,0.443715,0.771079,0.213529,0.982342,2.46916
1.066666667,1.2662,0.717565,0.271553,0.186555,1.59689,0.455614,1.43098,0.0834015,0.764744,0.484957,2.30809,0.229893
1.109333333,0.387242,0.650074,1.11105,0.0417949,1.47818,0.4073,0.906214,0.0838269,1.60917,0.601091,2.03848,0.43776
1.152000000,0.45134,0.329525,0.539092,0.118131,0.447964,1.43611,0.769636,0.202737,1.32634,0.585951,2.08582,1.22524
1.194666667,0.682356,0.470752,0.402986,0.331658,0.940282,1.64969,0.669337,0.180203,0.799524,0.201113,1.21709,2.24168
1.237333333,0.633142,0.415201,0.306337,0.315361,1.23103,1.82813,0.881614,0.204765,0.864565,0.161142,0.841608,2.32614
1.280000000,0.65657,0.428671,0.230569,0.34018,1.39787,1.50943,0.902899,0.203602,0.79369,0.190256,0.848595,2.2179
1.322666667,0.695122,0.517332,0.211874,0.376273,1.4779,1.49004,0.654877,0.209061,0.551945,0.388397,0.844707,2.04309
1.365333333,0.868689,0.198809,0.118383,0.366733,1.29083,1.43466,0.612042,0.296576,0.31354,0.838376,0.943358,1.60366
1.408000000,1.85592,0.0410855,0.300683,0.816855,0.470058,1.86656,1.25035,0.149945,0.889713,0.824334,0.96204,0.27707
1.450666667,1.59958,0.118169,0.595752,1.26325,0.777733,1.74052,0.841977,0.204512,1.13864,0.080476,1.6452,0.668578
1.493333333,1.91759,0.215807,0.74183,1.32283,1.09356,1.06128,0.829941,0.599256,0.849914,0.0816959,1.96157,1.10526
1.536000000,2.20014,0.137059,0.6205,1.11468,0.590034,0.58397,1.35484,1.30628,0.690634,0.0965787,1.83424,1.5251
1.578666667,2.52,0.356277,0.726249,0.549926,0.476226,0.128917,1.64496,1.45212,0.274109,0.0366629,1.45563,1.57547
1.621333333,2.48927,0.599926,0.745811,0.147446,0.766405,0.056441,1.65932,1.23941,0.272094,0.115667,1.02263,1.408
1.664000000,1.2296,0.70607,0.652306,0,1.31784,0.266118,1.76489,1.24995,1.16468,0.186518,0.926008,1.22929
1.706666667,0.891567,0.907369,0.544459,0.00352716,1.44659,0.280445,0.957725,0.721959,1.66847,0.286875,0.851287,1.48429
1.749333333,1.02262,0.576376,0.121036,0.0111576,1.38034,0.585839,0.704602,0.594626,1.45027,0.672903,1.48312,1.10985
1.792000000,1.43272,0.410337,0.495055,0.0182359,1.27005,0.778194,1.0209,0.498777,0.473344,0.249266,1.86783,1.15439
1.834666667,1.19361,0.179743,1.05351,0.194684,0.235707,1.93085,0.579477,0.74087,0.914101,0.0838713,0.824654,2.96076
1.877333333,0.991995,0.19263,1.09835,0.642216,0.0862168,1.98089,0.22405,0.995081,1.08168,0.00635759,0.733665,3.01761
1.920000000,0.940841,0.203478,1.0791,0.783423,0.136226,2.02226,0.0787892,1.11113,0.815463,0.0211478,0.72126,2.91777
1.962666667,0.894795,0.203236,1.02159,0.698887,0.398676,2.09403,0.0955371,1.35546,0.550124,0.0460374,0.689225,2.76149
2.005333333,0.832179,0.116383,0.784868,0.462213,0.645779,2.00471,0.519548,1.7205,0.360064,0.103381,0.954415,2.55918
2.048000000,0.806565,0,0.251246,0.371242,1.12778,0.511344,1.08748,1.65554,0.540081,0.122578,1.47448,1.35743
2.090666667,0.678084,0.256653,0.00583793,0.142347,1.41544,0.342888,2.20275,0.916289,0.599954,0.410494,1.80316,1.13469
2.133333333,0.956116,0.896709,0.419765,0.0148885,1.40196,0.662742,2.1662,0.309934,0.568147,0.760468,1.6362,0.907602
2.176000000,1.05582,0.999777,0.335234,0.00790145,1.6845,0.503464,1.05751,0.0161822,1.00288,0.573766,1.68983,0.744499
2.218666667,0.725832,1.10192,1.03648,0.205809,1.61068,0.273307,1.00202,0.0256826,1.17305,0.427307,1.44251,0.37452
2.261333333,0.547923,0.898492,1.21279,0.332971,1.1381,0.264648,1.15165,0.0116933,1.46454,0.565069,1.33767,0.4509
2.304000000,0.88129,0.733777,0.924472,0.339848,0.833328,0.369327,1.1506,0.0318766,1.73938,0.721872,1.26859,0.374049
2.346666667,1.33826,1.0081,0.418809,0.396123,1.37104,0.441167,1.05803,0.0266879,1.68929,0.899822,1.63376,0.271655
2.389333333,1.445,1.41156,0.0208331,0.152207,1.56362,0.971573,0.689959,0.361145,1.34574,0.427744,2.20262,0.250518
2.432000000,0.882573,1.01006,0.0714893,0.436323,0.583229,1.85647,0.934256,0.753943,1.07171,0.62864,2.06653,0.453136
2.474666667,1.22985,0.584404,0.266618,0.493601,0.116481,1.94376,1.1148,0.472949,1.2621,0.376983,1.65578,0.696002
2.517333333,1.62077,0.806727,0.419317,0.568713,0.724799,1.48843,1.07774,0.415875,1.21981,0.0674226,1.62031,0.797111
2.560000000,1.89456,0.967471,0.365738,0.414303,1.1438,0.88439,1.27637,0.618074,0.787656,0.20027,1.71974,0.782919
2.602666667,2.28037,0.785159,0.308109,0.243715,1.34928,0.256261,1.70013,0.823795,0.307561,0.232978,1.91414,0.622636
2.645333333,2.81263,0.470356,0,0.0959618,1.35645,0.337454,1.79524,0.837277,0.322819,0.214592,1.23794,0.411691
2.688000000,1.53951,0.00332438,0.587438,0.198423,1.37283,0.671606,2.33922,0.318414,0.320271,0.565179,1.17507,0.354691
2.730666667,1.09857,0.0740649,0.978881,0.1363,1.22592,0.754856,1.74257,0.328377,0.462844,0.494602,0.852852,1.27171
2.773333333,1.0246,0.0985345,1.4476,0.0556215,0.850855,0.365554,1.36671,0.371477,0.41656,0.179309,1.24381,1.65091
2.816000000,1.06949,0.243475,1.32083,0.0949392,1.03137,0.13766,1.06255,0.519496,0.245974,0.0869659,1.24172,1.69977
