TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0.100357,0.262912,0.554606,0.640252,1.61646,0.706767,1.07743,1.26637,0.617291,0.899619,1.52103,1.66045
0.085333333,0.0934138,0.233986,0.736808,0.465603,1.75194,0.671257,1.06378,1.32836,0.314026,0.654103,1.44352,1.67107
0.128000000,0.0923323,0.215236,0.808961,0.215125,1.72989,0.551026,1.00745,1.32524,0.287748,0.752707,1.41134,1.66657
0.170666667,0.518257,0.240688,0.813103,0.114011,1.66935,0.161132,0.903247,1.25056,0.274272,0.983408,1.40607,1.5952
0.213333333,0.935795,0.309222,0.655091,0.156222,1.70065,0,0.663971,1.26126,0.227454,1.18696,1.36514,1.25443
0.256000000,0.975019,0.45333,0.14931,0.0903682,1.8627,0.10625,0.523433,1.39277,0.134524,1.26261,1.53327,0.736694
0.298666667,1.01841,0.472811,0.0367063,0.217596,2.16837,0.495502,0.572433,1.45265,0.232908,1.25396,1.54224,0.280532
0.341333333,0.957541,0.529063,0.0616679,0.339463,2.09444,0.188433,1.09086,0.385034,0.734558,2.35738,1.29817,0.226674
0.384000000,0,1.25429,0.00668707,0.445274,1.00987,1.44371,0.515372,0.667867,1.04589,1.7197,1.78761,1.16116
0.426666667,0.243568,1.28749,0.203136,0.273639,0.946622,2.00387,0.458038,0.224528,1.13262,1.61916,1.22652,1.15136
0.469333333,0.343467,1.3113,0.262321,0.20995,0.836095,2.20105,0.391373,0.0826434,1.11135,1.77364,1.01492,1.08433
0.512000000,0.286747,1.61494,0.296059,0.0210996,0.915546,2.48943,0.146336,0.136658,1.08592,1.63957,0.79745,1.00995
0.554666667,0.0814968,2.00027,0.185132,0.027605,1.03543,2.5003,0.150504,1.02545,0.658605,1.26653,0.486484,0.898687
0.597333333,0.0501496,2.11253,0.0247146,0.0849839,0.782492,1.93173,0.177976,1.64656,0.319937,0.884544,0.436207,1.00502
0.640000000,1.081,1.3236,0.075247,0.144875,0.680126,1.5371,0.178409,1.68566,0.455681,1.10053,1.05319,0.495944
0.682666667,1.49467,0.973123,0.177226,0.175383,0.271673,1.13389,0.0933163,1.3832,0.780343,1.61999,0.932128,0.643614
0.725333333,1.461,0.962406,0.177658,0.523263,0.163265,1.08913,0.028718,1.65218,1.08016,1.66392,0.555026,0.795764
0.768000000,1.02985,0.800094,0.20264,0.504055,0.211299,1.16719,0.00139231,2.02657,1.01449,1.33682,0.492243,0.949263
0.810666667,1.0584,0.316034,0.27301,0.348753,0.379026,0.997714,0.410327,1.79134,1.05834,1.25216,1.20341,0.677589
0.853333333,0.971576,0.310945,0.187796,0.414752,1.60127,0.596444,0.505911,1.48875,0.56554,1.47788,1.14384,0.703539
0.896000000,0.657968,0.313618,0.525919,0.345255,1.56498,0.437782,0.571159,1.27094,0.474177,1.76665,0.994945,0.763554
0.938666667,0.305774,0.320281,0.741069,0.286558,1.64383,0.323274,0.740605,1.18566,0.376785,1.50427,1.36656,0.95468
0.981333333,0.608711,0.482207,0.68565,0.126097,1.94863,0.144722,0.784645,1.08189,0.572856,1.20979,1.66397,0.771105
1.024000000,0.676168,0.546423,0.110369,0.00879496,2.23616,0,0.648308,0.959683,0.586517,1.23639,2.05846,0.0892657
1.066666667,0.0521772,0.505133,0.00357749,0.277077,2.32144,0.133585,0.674128,0.811488,0.530869,1.00876,2.13254,0.419163
