TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0,0,0,0,0,0,0,0,0,0,0,0
0.213333333,0.133597,0.309052,1.93189,1.53034,0.902775,0.192594,1.2276,0.846517,0.317502,0.391626,0.701692,0.385169
0.256000000,0.0636182,0.418989,1.80141,1.36463,0.6202,0.149066,0.929619,0.91979,0.368465,0.648025,0.984325,0.665106
0.298666667,0.0907659,0.602117,1.61696,1.39458,0.282249,0.152283,0.388992,1.1587,0.542246,0.7399,1.02643,1.02165
0.341333333,0.202601,0.731212,1.59462,1.31352,0.186294,0.146808,0.160108,1.2454,0.619503,0.612911,1.39885,0.903264
0.384000000,0.332486,0.461615,1.65989,1.33166,0.08519,0.198616,0.388087,1.30574,0.665608,0.397375,1.84245,0.564121
0.426666667,0.35528,0.451758,1.86544,1.34216,0.259802,0.138691,0.747956,1.10959,0.660759,0.120929,2.13384,0.242358
0.469333333,0.329412,0.256459,2.24463,0.933566,0.511383,0.0713154,0.891132,0.519808,0.936041,0.110351,2.11495,0.331004
0.512000000,0.240713,0.356643,2.39739,1.15802,0.583033,0.195378,1.05971,1.31822,1.53954,0.0677477,1.1114,0.461599
0.554666667,0.12828,0.416741,2.47285,0.271043,0.392668,1.43774,0.954319,1.16545,1.00898,0.228128,1.22994,0.329384
0.597333333,0.340249,0.414358,2.38625,0.158013,0.156094,1.47579,1.05812,0.815817,0.766322,0.380042,1.34495,0.312538
0.640000000,0.481348,0.545821,2.14967,0.17309,0.464325,1.58783,1.03519,0.815904,0.498984,0.265013,1.46938,0.232398
0.682666667,0.326126,0.838291,2.11546,0.32071,0.631603,1.70666,1.13226,0.525079,0.362763,0.228089,1.33852,0.394121
0.725333333,0.0209324,0.998764,1.91744,0.381493,0.443896,1.99878,1.24065,0.361608,0.448199,0.30485,0.918144,0.257921
0.768000000,8.54246e-05,1.00932,1.83353,0.343432,0.170561,2.37724,0.83268,0.266664,0.482871,0.442463,0.473,0.659469
0.810666667,0,1.16957,1.94117,0.220133,0.169876,2.30834,0.398379,0.672583,0.226883,0.548569,0.740256,0.930104
0.853333333,0.000330492,1.04122,2.3233,0.4177,0.27132,2.20898,0.294127,1.02673,0.0655839,0.680737,0.748963,0.582371
0.896000000,0.123539,0.647382,2.241,1.03118,0.38192,1.95964,0.327646,1.6833,0.0348707,0.800584,0.705233,0.556131
0.938666667,0.293558,0.478108,2.28896,1.31925,0.287511,1.47343,0.197819,2.04632,0.0317817,0.843672,0.8035,0.634818
0.981333333,0.224878,0.436438,2.27338,1.0969,0.507128,1.39677,0.254585,2.13022,0.034015,0.597218,0.728009,0.72505
1.024000000,0.163411,0.42008,2.37148,0.848634,0.478181,1.31913,0.265657,2.00307,0.0482329,0.414029,0.792677,1.3382
1.066666667,0.101395,0.505711,2.58115,0.716743,0.425512,1.20485,0.428856,1.57119,0.0594458,0.321391,0.999926,1.25473
