TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0,0,0,0,0,0,0,0,0,0,0,0
0.213333333,0,0,0,0,0,0,0,0,0,0,0,0
0.256000000,0,0,0,0,0,0,0,0,0,0,0,0
0.298666667,0,0,0,0,0,0,0,0,0,0,0,0
0.341333333,0,0,0,0,0,0,0,0,0,0,0,0
0.384000000,0,0,0,0,0,0,0,0,0,0,0,0
0.426666667,0,0,0,0,0,0,0,0,0,0,0,0
0.469333333,0,0,0,0,0,0,0,0,0,0,0,0
0.512000000,0,0,0,0,0,0,0,0,0,0,0,0
0.554666667,0,0,0,0,0,0,0,0,0,0,0,0
0.597333333,0,0,0,0,0,0,0,0,0,0,0,0
0.640000000,0,0,0,0,0,0,0,0,0,0,0,0
0.682666667,0,0,0,0,0,0,0,0,0,0,0,0
0.725333333,0,0,0,0,0,0,0,0,0,0,0,0
0.768000000,0,0,0,0,0,0,0,0,0,0,0,0
0.810666667,0,0,0,0,0,0,0,0,0,0,0,0
0.853333333,0,0,0,0,0,0,0,0,0,0,0,0
0.896000000,0,0,0,0,0,0,0,0,0,0,0,0
0.938666667,0,0,0,0,0,0,0,0,0,0,0,0
0.981333333,0,0,0,0,0,0,0,0,0,0,0,0
1.024000000,0,0,0,0,0,0,0,0,0,0,0,0
1.066666667,0,0,0,0,0,0,0,0,0,0,0,0
1.109333333,0,0,0,0,0,0,0,0,0,0,0,0
1.152000000,0,0,0,0,0,0,0,0,0,0,0,0
1.194666667,0.591854,2.78122,0.626601,0.164464,0.0854716,0.954146,2.26432,0.162029,1.1252,0.351597,1.70631,0.0624487
1.237333333,1.30869,2.42306,0.246622,0.144254,0.100797,0.778713,2.74688,0.11106,1.14678,0.147479,1.56139,0.0210102
1.280000000,1.62546,2.20962,0.065235,0.467476,0.1744,0.649363,2.89,0.124673,1.0211,0.0444844,1.49111,0.0176327
1.322666667,1.80038,1.9756,0.0384264,0.764048,0.0786825,0.482355,2.96629,0.228311,0.86717,0.0322637,1.99779,0.0419681
1.365333333,1.91095,1.70967,0.198508,1.03203,0.0702341,0.479964,2.99311,0.114156,0.729544,0,2.23544,0.0441281
1.408000000,1.68877,1.22055,0.16863,1.47435,0.0280474,0.496705,3.12204,0.117526,0.240418,0.000251612,2.55694,0.246493
1.450666667,1.56647,0.442808,0.221531,1.54414,0.0243955,0.508251,2.94555,0.0504928,0.301522,0.31696,2.9418,0.522523
1.493333333,1.19796,0.516595,0.183946,1.55619,0.00983004,0.632728,2.68243,0.0512148,1.23919,0.553219,3.08518,0.428479
1.536000000,1.29177,0.339956,0.157528,1.69422,0.013913,0.730194,2.53874,0.0358893,1.61314,0.461495,2.49844,0.028464
1.578666667,1.35386,0.295277,0.230049,1.48676,0.0195089,0.805331,2.3758,0.00598172,1.6998,0.176245,2.10958,0.000680356
