TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0,0,0,0,0,0,0,0,0,0,0,0
0.213333333,0,0,0,0,0,0,0,0,0,0,0,0
0.256000000,0,0,0,0,0,0,0,0,0,0,0,0
0.298666667,0,0,0,0,0,0,0,0,0,0,0,0
0.341333333,0,0,0,0,0,0,0,0,0,0,0,0
0.384000000,0,0,0,0,0,0,0,0,0,0,0,0
0.426666667,0,0,0,0,0,0,0,0,0,0,0,0
0.469333333,0,0,0,0,0,0,0,0,0,0,0,0
0.512000000,0,0,0,0,0,0,0,0,0,0,0,0
0.554666667,0,0,0,0,0,0,0,0,0,0,0,0
0.597333333,0,0,0,0,0,0,0,0,0,0,0,0
0.640000000,0.500569,1.98981,0.198431,0.0377663,0.624692,2.611,0.228338,0.0117632,1.91302,0.669407,2.53807,0.327659
0.682666667,0.389715,1.97598,0.00140286,0.0144309,0.222011,3.37514,0.249734,0.0166723,1.97449,0.622646,2.50195,0.578799
0.725333333,0.167702,1.98589,0.0170504,0.00869175,0.103448,3.65667,0.417659,0.0222222,2.03306,0.527542,2.55073,0.28943
0.768000000,0.174357,1.96586,0.0418835,0,0.0825716,3.79427,0.548172,0.0297512,2.09266,0.576641,2.61338,0.244378
0.810666667,0.355417,1.87546,0.0274878,0.0823697,0.0372136,3.62529,0.462933,0.32285,1.97261,0.59815,2.59756,0.203645
0.853333333,0.308665,1.70105,0.000514867,0.129148,0.0362835,3.48278,0.34791,0.341105,1.87757,0.657206,2.57591,0.146898
0.896000000,0.299293,1.70341,0.000494477,0.147529,0.0833517,3.58115,0.256006,0.30416,1.97608,0.822421,2.23414,0.0504092
0.938666667,0.338643,1.82478,0.00494377,0.178003,0.0524696,3.70796,0.141696,0.179764,2.059,1.08095,2.16124,0.0493698
0.981333333,0.36691,1.80859,0.0143044,0.19109,0.107948,3.44237,0.151467,0.0210495,1.82559,1.12892,2.3459,0.214166
1.024000000,0.310205,1.53383,0,0.242701,0.0726386,3.39549,0.0831714,2.01768e-05,1.32349,1.03194,2.81429,0.254524
1.066666667,0.118446,1.26682,0.0586318,0.575943,0.043036,3.49857,0.0761515,0.162103,0.688038,1.01234,2.92928,0.206931
1.109333333,0.157979,1.61679,0.0281627,0.470612,0.057517,3.47946,0.0809414,0.397377,0.681505,1.06513,2.71751,0.491918
1.152000000,0.15186,1.84422,0,0.296794,0.420996,3.59522,0.355961,0.378384,1.0802,1.11676,2.31475,0.335762
1.194666667,0.0162066,1.99858,0,0.367863,0.445144,3.29939,0.401497,0.207776,1.53817,0.858109,2.53092,0.187292
1.237333333,0.000229995,1.85076,0.0205646,0.328179,0.298115,3.15924,0.308118,0.130371,1.86775,0.728742,2.67826,0.277616
1.280000000,0,1.78854,0.0266151,0.269812,0.150522,3.07925,0.269898,0.245279,2.24236,0.670212,2.80272,0.351078
