TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
1.493333333,1.78893,0.150884,1.66428,1.24352,0.824302,0.835578,0.669985,0.522783,1.49632,1.59373,1.48942,0.166791
1.536000000,1.57942,0.156006,2.21601,1.17003,0.39816,0.888358,0.692515,0.700709,1.27061,1.79336,1.42984,0.390424
1.578666667,1.69787,0.190825,2.31226,1.1072,0.328747,0.857867,0.536683,0.96263,1.25695,1.11688,1.62495,0.231563
1.621333333,1.7091,0.185527,2.46482,1.0326,0.256124,0.597443,1.13645,0.88356,1.54229,0.418807,1.53569,0.143435
1.664000000,1.41232,0.820869,1.7749,0.991571,0.247196,0.568357,0.929873,1.46266,1.72145,0.346957,1.80669,0.132238
1.706666667,0.708809,1.58824,0.80335,0.322119,0.424715,0.464406,0.763508,2.3019,1.3092,0.337537,1.82535,0.126295
1.749333333,0.688177,0.981855,0.464689,0.488588,0.88557,0.188651,0.500861,1.9822,0.911649,1.49215,1.63701,0.484938
1.792000000,1.00328,0.265074,0.756079,0.667147,1.31622,0.0845706,1.35621,0.652169,1.27584,1.51387,0.957792,0.934313
1.834666667,1.30646,0.303684,1.05487,1.42155,0.600534,0.606331,1.26827,0.00540213,1.47266,1.11341,0.106346,0.771922
1.877333333,1.67104,0.16262,2.12657,1.26918,0.310929,1.16772,0.466629,0.00967397,1.0248,0.907463,1.10593,0.522676
1.920000000,2.04364,0.206668,1.90391,0.994262,0.473667,1.57432,0.324073,0.00899387,0.965245,1.23187,1.71561,0.717746
1.962666667,1.79011,0.195569,1.68482,0.830167,0.978858,1.66916,0.287024,0.0252098,1.16286,0.899328,2.04431,0.762748
2.005333333,1.68147,0.260211,1.48764,0.948868,1.19123,1.61821,0.201063,0.0315081,1.25095,0.635055,1.7825,0.88635
2.048000000,1.38859,0.50438,1.18098,0.952529,0.988454,1.3946,0.0577249,0.529453,1.4769,0.480268,0.95238,1.24169
2.090666667,1.1508,1.21181,1.13566,0.892043,0.567905,0.653616,0.177964,0.90681,1.43534,0.932144,0.960234,1.32488
