TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.0588658,1.12212,0.279086,0.0881994,1.70061,0.0709814,0.133216,0.163015,0.84661,3.88969,0.586696,0.135084
0.042666667,0.0370297,1.22404,0.260628,0.210437,1.83944,0.0369124,0.172909,0.2324,0.545905,3.75483,0.388346,0.083174
0.085333333,0.00927271,1.20808,0.229184,0.215401,1.92712,0.0185522,0.1657,0.326195,0.421929,3.66343,0.413372,0.156883
0.128000000,0.000276924,1.23994,0.168143,0.0438555,1.95327,0.00438383,0.139107,0.432729,0.394286,3.95951,0.321861,0.220258
0.170666667,0.000195697,1.28365,0.0391731,0.0467904,1.97647,0.0125805,0.113223,0.502266,0.382151,4.13525,0.230427,0.234623
0.213333333,1.19716e-05,1.33879,0.029957,0.0422149,2.08024,0.00779953,0.0804371,0.572404,0.356425,4.12913,0.19289,0.237425
0.256000000,0.0536432,1.62978,0.0169165,0.0332798,2.11062,0.165426,0.0519389,0.558471,0.287746,4.18792,0.205403,0.257967
0.298666667,0.217192,1.44877,0.242004,0.0305827,2.33715,0.00248031,0.0352394,0.602625,0.0361226,4.23843,0.172308,0.322146
0.341333333,0.0200993,1.16176,0.280995,0.0463749,2.22557,0.000544219,0.206226,0.798964,0.28909,4.30065,0.176535,0.824465
0.384000000,0.348544,1.24548,0.292497,0.0598058,2.03311,0.0556015,0.0690778,0.461169,0.451704,4.37918,0.223406,0.135677
0.426666667,0.522281,1.25981,0.190573,0.0700444,1.81521,0.237033,0.0349233,0.431317,0.289959,4.46564,0.195805,0.225547
0.469333333,0.249936,1.29128,0.175572,0.183076,1.78496,0.00231486,0.0743642,0.445533,0.0118782,4.39684,0.0275384,0.417756
0.512000000,0.162497,1.28803,0.898929,0.244008,1.83623,0.00043588,0.0592124,0.43336,0.0123888,4.03166,0.053157,0.771554
0.554666667,0.120318,1.28174,1.42908,0.434984,2.12915,0.0249218,0.0730636,0.402909,0.00880763,3.98327,0.360588,0.701251
0.597333333,0.0542102,1.19355,1.80217,0.430855,2.09554,0.166964,0.100946,0.3165,0.00470885,4.01387,0.548173,0.48635
0.640000000,0.0561206,1.02997,2.21802,0.305941,1.91146,0.259355,0.114864,0.244758,0.00466698,3.9731,0.592843,0.166094
0.682666667,0.000899373,0.918439,2.74373,0.126164,1.55321,0.363501,0.147248,0.176924,0.0140188,3.7287,0.0839509,0.439111
0.725333333,0.00328203,0.996289,2.98991,0.00962743,1.40076,0.20195,0.267929,0.167599,0.164747,3.62416,0.131536,0.896057
0.768000000,0.637813,1.08331,3.16656,0.00736133,1.30472,0.120718,0.35266,0.362844,0.35207,3.37129,0.148303,0.871084
0.810666667,1.46803,0.859644,3.20421,0.0534182,0.916398,0.0592091,0.464731,0.561828,0.327868,3.01612,0.337226,0.454744
0.853333333,2.10703,0.568171,3.06877,0.300301,0.670725,0.17922,0.550998,0.603718,0.267285,2.81921,0.566173,0.19267
0.896000000,2.62236,0.283426,3.19088,0.253377,0.67106,0.462647,0.516987,0.790011,0.152003,2.71421,0.496785,0.189475
0.938666667,3.24823,0.0314812,3.21775,0.024971,0.922903,0.546625,0.31867,1.06964,0.0099363,2.47517,0.388872,0.198771
0.981333333,3.57423,0.2325,2.43216,0.00706873,1.2485,0.489788,0.0463672,1.19386,0,2.30862,0.314796,0.205089
1.024000000,3.60091,0.459646,1.92506,0.0247291,1.33205,0.543003,0.00185966,1.21074,0,2.35441,0.18961,0.190266
1.066666667,3.59774,0.556193,1.67955,0.0242856,1.31891,0.592646,0.0016437,1.1262,0.207949,2.29834,0.206744,0.347223
1.109333333,3.44048,0.487814,1.83599,0.0244264,1.37562,0.485612,0.105231,1.08603,0.170133,2.18437,0.241373,0.492185
1.152000000,3.09725,0.104805,2.16601,0.0242329,1.36176,0.595018,0.0612346,1.1805,0.234651,2.13881,0.352557,0.182715
1.194666667,3.5191,0.00438292,1.99859,0.388716,1.10699,0.457826,0.0452999,1.43966,0.0189902,1.99107,0.581179,0.155005
