TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0.683766,0.273254,1.81906,0.182348,0.555721,1.05954,0.993053,0.510226,0.973267,1.82585,1.1134,1.29251
0.085333333,0.127996,0.286065,1.79224,1.33282,1.11995,0.859235,0.721078,0.245332,1.07363,0.949681,1.09979,1.1464
0.128000000,0.155036,0.254041,2.03321,1.47164,1.43922,0.547703,0.787691,0.00626376,0.482377,0.869882,0.953807,1.02411
0.170666667,0.295427,0.293888,2.04782,1.6772,1.56646,0.379745,0.734341,0.0036524,0.302812,0.888865,0.905046,0.969185
0.213333333,0.346962,0.328548,2.00546,1.80063,1.67559,0.41311,0.720857,0.0236776,0.178812,0.842134,0.869388,0.880865
0.256000000,0.35418,0.346154,1.9031,1.82677,1.80725,0.478069,0.674526,0.167417,0.120664,0.742281,0.851436,0.740499
0.298666667,0.306271,0.393081,1.74294,1.6183,1.87331,0.395867,0.819762,0.440642,0.137119,0.801809,0.844474,0.578331
0.341333333,0.158632,0.519385,1.31563,1.10274,1.67075,0.382747,1.23054,0.895971,0.196196,0.435951,1.065,0.389226
0.384000000,0.612466,0.299643,1.55318,1.51733,0.496186,0.368506,1.68113,0.254866,0.975922,0.155905,0.830466,0.802086
0.426666667,0.886624,0.561543,0.202255,1.14246,0.564495,0.00679565,0.653469,0.255507,1.24741,0.708921,0.221594,1.06496
0.469333333,0.871348,0.812284,0.179468,1.12579,0.31097,0.568198,0.159605,0.790597,0.798837,0.94975,0.18393,1.84828
0.512000000,0.668553,0.502961,0.582648,1.08629,0.294957,0.55452,0.104311,0.856208,0.225238,1.08974,0.427986,1.77679
0.554666667,0.82643,0.290491,0.473326,1.11305,0.164879,0.520465,0.207749,0.742726,0.512038,1.03186,0.185031,1.83571
0.597333333,0.713702,0.255478,0.534573,0.724467,0.0679361,0.693039,0.271135,0.665228,0.712776,0.799958,0.370182,1.87305
0.640000000,0.841174,0.411732,0.325636,0.609668,0.299016,0.627141,0.486396,1.0297,0.391394,0.698409,0.182561,1.6507
0.682666667,0.331738,0.546989,0.636972,1.48632,0.367029,0.624582,0.105756,1.11447,0.699256,0.565828,1.11759,1.62887
0.725333333,0.222992,0.228666,1.79376,1.59286,0.981992,0.283863,0.566512,0.292489,0.412959,0.807889,0.952241,1.11991
0.768000000,0.252381,0.26295,2.02128,1.7792,1.46049,0.203147,0.67967,0.0169067,0.290021,0.896335,0.889686,1.04217
0.810666667,0.295329,0.317585,2.06316,1.82963,1.55408,0.284825,0.678211,0,0.211518,0.866769,0.847704,1.05619
0.853333333,0.290054,0.360164,1.95671,1.80271,1.5511,0.286698,0.583375,0.19946,0.185111,0.733778,0.828548,0.991851
0.896000000,0.18127,0.360202,1.65816,1.59153,1.59249,0.354238,0.618379,0.593179,0.20768,0.690631,0.80746,0.826284
0.938666667,0.162872,0.421819,1.10659,1.13939,1.72302,0.349487,0.886992,0.698474,0.271824,0.780674,0.856179,1.36563
0.981333333,0.291683,0.438808,0.451826,0.0664219,1.06249,0.241498,1.19262,0.878211,1.49711,0.377492,1.21065,1.95821
1.024000000,0.730659,0.270463,0.714398,1.25183,0.612167,1.03639,1.10806,0.488723,1.44369,0.37633,0.0632248,0.909335
1.066666667,0.646309,0.259419,1.06658,0.826052,0.275202,1.08433,0.937788,0.578909,1.02856,0.176134,0.34185,1.50301
1.109333333,1.09023,0.227183,0.376393,0.313833,0.225547,0.984054,0.604217,0.649923,0.773809,0.860812,0.564246,1.94595
1.152000000,1.10689,0.0806629,0.288338,0.24985,0.46424,1.05383,0.643855,0.724301,0.989777,0.971767,0.620494,1.76961
1.194666667,1.04307,0.0121626,0.186974,0.217645,0.560462,1.24914,0.710302,0.882844,1.02605,0.958768,0.54677,1.6241
1.237333333,0.781614,0.0980717,0.170477,0.140601,0.386491,1.0989,0.585688,1.09905,0.981647,1.2022,0.116197,1.63633
1.280000000,0.648009,0.101566,0.330171,0.16611,0.378295,0.659173,0.866014,0.740123,1.02762,0.847098,0.0387722,1.61443
1.322666667,0.940413,0.0889418,0.256585,0.271067,0.617872,0.441014,1.22296,0.884885,0.644843,0.173922,0.418671,1.41221
1.365333333,1.08159,0.0617086,0.871746,0.0649631,0.269821,0.730684,1.39177,1.0027,1.05173,0.644289,0.69998,1.40611
1.408000000,1.47088,0.0969713,0.83605,0.202136,0.0733347,0.911664,1.63572,0.783858,1.71837,0.630224,0.459563,1.55993
1.450666667,0.73865,0.0476153,0.843328,0.506286,0.447972,0.620265,0.949478,0.993827,1.06202,0.553835,0.135484,0.954839
1.493333333,0.735289,0.133503,0.385537,0.344069,1.48292,0.30052,0.790499,0.616685,0.720488,1.15577,0.2214,0.737367
1.536000000,0.70906,0.200346,0.21227,0.453486,1.82644,0.418248,0.58118,0.716094,0.64634,1.13912,0.554804,0.933984
1.578666667,0.748589,0.166527,0.139681,0.465515,1.77643,0.663938,0.590748,0.748233,0.696646,1.18763,0.607069,0.939348
1.621333333,0.699792,0.214747,0.197388,0.439395,1.84481,1.01281,0.519053,0.746673,0.649897,1.14908,0.225535,0.921947
1.664000000,0.630936,0.212535,0.23307,0.459329,1.39943,0.833103,0.687089,0.721297,0.763635,1.01921,0.202728,0.945228
1.706666667,0.565005,0.267375,0.234379,0.861444,0.845999,0.593013,0.793221,0.709967,1.10025,0.508154,0.35116,1.18299
1.749333333,0.944688,0.378172,0.0813114,1.10965,0.471798,0.48948,0.860709,0.640895,1.3207,0.589713,0.621607,1.48482
1.792000000,1.42974,0.089264,0.0935922,0.347586,0.470565,0.781421,1.17073,0.63788,0.901263,0.590115,0.605574,1.48559
1.834666667,1.12818,0.0932135,0.0384561,0.374321,0.624151,0.93873,1.00097,0.676543,0.78032,0.673191,0.269412,1.38286
1.877333333,0.582874,0.186782,0.103542,0.405715,1.22188,0.761277,0.708058,0.763765,0.621641,0.720761,0.375271,1.36499
1.920000000,0.534725,0.223373,0.114311,0.947089,0.93997,0.743616,0.298714,0.75734,0.488,0.721481,0.316062,1.6515
