TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0,0,0,0,0,0,0,0,0,0,0,0
0.213333333,0,0,0,0,0,0,0,0,0,0,0,0
0.256000000,0,0,0,0,0,0,0,0,0,0,0,0
0.298666667,0,0,0,0,0,0,0,0,0,0,0,0
0.341333333,0,0,0,0,0,0,0,0,0,0,0,0
0.384000000,0,0,0,0,0,0,0,0,0,0,0,0
0.426666667,0,0,0,0,0,0,0,0,0,0,0,0
0.469333333,0,0,0,0,0,0,0,0,0,0,0,0
0.512000000,0,0,0,0,0,0,0,0,0,0,0,0
0.554666667,0,0,0,0,0,0,0,0,0,0,0,0
0.597333333,0,0,0,0,0,0,0,0,0,0,0,0
0.640000000,0,0,0,0,0,0,0,0,0,0,0,0
0.682666667,0.386851,1.32015,2.35143,0.794698,1.44241,1.80399,0.414262,0.692732,1.35211,0.479615,0.278965,0.786161
0.725333333,0.637723,1.3873,2.49888,1.04624,0.990482,1.77216,0.548314,0.433036,1.21094,0.506345,0.254257,0.768797
0.768000000,0.843058,1.31712,2.35648,0.786686,0.694915,1.70761,0.648679,0.449256,0.880718,0.538553,0.310754,0.773308
0.810666667,0.851007,1.09702,1.62584,0.232529,0.720235,1.37498,0.718638,1.26556,0.477315,0.57578,0.425176,0.819069
0.853333333,0.94763,0.936473,0.958196,0.0966573,0.887024,0.700263,0.742972,1.69252,0.79193,0.567583,1.16609,0.549773
0.896000000,1.34151,1.00209,0.88618,0.396219,0.921454,0.272308,0.515971,1.7933,1.39071,0.339189,1.29366,0.101763
0.938666667,1.53371,0.959429,1.33953,0.472481,0.323939,0.235311,0.926848,1.26402,1.28696,0,1.40883,0.0625084
0.981333333,1.24426,0.971851,2.00001,0.207331,0.68641,0.553612,1.07391,0.290452,1.53081,0,1.11445,0.283333
1.024000000,0.542364,1.08733,1.99586,0.262798,1.88211,0.631536,0.679406,0.0329226,1.70002,0.292219,0.739654,0.465643
1.066666667,0.792103,0.993315,1.35324,0.512808,2.26264,0.80011,0.182286,0.0383822,1.37794,0.445455,0.459431,0.540639
1.109333333,0.689315,0.921031,1.18219,0.972948,2.11262,0.6748,0.193341,0.105156,0.745038,0.449266,0.427867,0.268242
1.152000000,0.524193,1.01977,1.50652,1.08918,1.23996,0.510487,0.0122389,0.0846077,1.16214,0.280764,0.765625,0.687778
1.194666667,0.593412,0.614666,2.02144,1.55738,1.16388,1.32531,0.0190245,0.380954,1.53684,0.773008,0.232343,0.987353
1.237333333,0.764746,0.506809,1.12003,1.87607,1.16041,1.36681,0.206093,0.834611,0.271732,1.22026,0.324166,1.09598
1.280000000,0.66984,0.632654,0.102192,1.3065,1.15548,0.986959,0.762716,1.10829,0.287389,1.40335,0.189371,0.965263
1.322666667,0.834177,0.799779,0.00547096,0.553007,0.791224,0.600959,1.64851,1.03,1.17182,1.07619,0.387064,0.810067
