TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0,0,0,0,0,0,0,0,0,0,0,0
0.213333333,0.962474,0.256316,0.232874,1.28698,1.37587,0.116213,0.613999,0.212314,0.527892,1.01089,0.430199,0.918932
0.256000000,0.942956,0.407974,0.326508,0.85419,0.962769,0.227846,0.439499,0.231154,0.262403,1.53394,0.206308,0.6182
0.298666667,0.854161,0.505095,0.470319,0.378417,1.04256,0.0121722,0.024678,0.324585,0.317411,1.72636,0.291241,0.507185
0.341333333,0.665509,0.573499,0.552854,0.350988,1.48926,0.00614181,0.0179849,0.349705,0.52274,1.35843,0.445543,0.344553
0.384000000,0.560542,0.596231,0.555139,0.3682,1.49691,0.00567776,0.0291287,0.324189,0.501199,1.42768,0.435827,0.304243
0.426666667,0.48363,0.514275,0.328741,0.535593,0.972335,0.00439416,0.0450925,0.272569,0.392374,1.7256,0.283672,0.367786
0.469333333,0.473741,0.321811,0.133329,0.628531,0.80152,0.003865,0.0561363,0.319986,0.291304,1.89568,0.18553,0.3906
0.512000000,0.415035,0.1797,0.198093,0.502859,1.14442,0.121813,0.0277655,0.459346,0.374346,1.77465,0.235908,0.334037
0.554666667,0.450805,0.0632374,0.0283998,0.398547,1.23452,0.479884,0.0304748,0.500847,0.574533,1.8214,0.297285,0.326337
0.597333333,0.699265,0.0445297,0.00492131,0.378498,1.07229,0.587653,0.0375496,0.502433,0.640059,2.01277,0.210405,0.352673
0.640000000,1.0243,0.044412,0.00456419,0.366825,0.972786,0.575334,0.016734,0.533015,0.764065,2.09741,0.139496,0.414527
0.682666667,1.34347,0.0470101,0.00428545,0.400691,1.06868,0.506745,0.0142099,0.582603,0.826589,1.92194,0.173144,0.352813
0.725333333,1.39084,0.118301,0.00444841,0.600433,1.05959,0.426688,0.00893957,0.604392,0.771238,1.76172,0.107038,0.364441
0.768000000,1.32757,0.180928,0.0180166,0.683503,0.990707,0.141931,0.00555375,0.462597,0.858923,1.76282,0.169031,0.393099
0.810666667,1.38847,0.0611998,0.0827614,0.60574,1.19362,0.00189537,0.0102524,0.294967,0.933988,1.75811,0.325888,0.333208
0.853333333,1.49742,0.0493615,0.31771,0.535315,1.13306,0.000662003,0.138153,0.054841,0.807267,2.03555,0.372107,0.374498
0.896000000,1.41032,0.0359882,0.268712,0.67949,0.953779,0.000209599,0.219182,0.0789348,0.538578,2.17474,0.258434,0.431464
0.938666667,1.26582,0.0407671,0.0578884,0.806102,0.958006,0,0.0909339,0.121437,0.39091,2.10382,0.299518,0.470112
0.981333333,1.19254,0.0347914,0.00553326,0.836524,1.2026,0,0.1123,0.150067,0.429209,1.74439,0.339316,0.468904
1.024000000,1.14668,0.146204,0.074859,0.927564,1.27629,0,0.0935216,0.199636,0.506536,1.42598,0.252255,0.681854
1.066666667,1.13032,0.302506,0.0376232,1.02859,1.22826,0,0.0380829,0.347572,0.563998,1.34615,0.195354,0.795826
