TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0,0,0,0,0,0,0,0,0,0,0,0
0.213333333,0,0,0,0,0,0,0,0,0,0,0,0
0.256000000,0,0,0,0,0,0,0,0,0,0,0,0
0.298666667,0,0,0,0,0,0,0,0,0,0,0,0
0.341333333,0,0,0,0,0,0,0,0,0,0,0,0
0.384000000,0,0,0,0,0,0,0,0,0,0,0,0
0.426666667,0,0,0,0,0,0,0,0,0,0,0,0
0.469333333,0,0,0,0,0,0,0,0,0,0,0,0
0.512000000,0,0,0,0,0,0,0,0,0,0,0,0
0.554666667,0,0,0,0,0,0,0,0,0,0,0,0
0.597333333,0,0,0,0,0,0,0,0,0,0,0,0
0.640000000,0,0,0,0,0,0,0,0,0,0,0,0
0.682666667,0,0,0,0,0,0,0,0,0,0,0,0
0.725333333,0,0,0,0,0,0,0,0,0,0,0,0
0.768000000,0,0,0,0,0,0,0,0,0,0,0,0
0.810666667,0,0,0,0,0,0,0,0,0,0,0,0
0.853333333,0,0,0,0,0,0,0,0,0,0,0,0
0.896000000,0,0,0,0,0,0,0,0,0,0,0,0
0.938666667,0,0,0,0,0,0,0,0,0,0,0,0
0.981333333,0,0,0,0,0,0,0,0,0,0,0,0
1.024000000,0,0,0,0,0,0,0,0,0,0,0,0
1.066666667,0,0,0,0,0,0,0,0,0,0,0,0
1.109333333,0,0,0,0,0,0,0,0,0,0,0,0
1.152000000,0,0,0,0,0,0,0,0,0,0,0,0
1.194666667,0,0,0,0,0,0,0,0,0,0,0,0
1.237333333,0,0,0,0,0,0,0,0,0,0,0,0
1.280000000,0.734322,0.669335,1.8361,0.655143,0.835131,0.430296,0.901725,0.0449655,0.0809971,1.86604,1.36359,0.297516
1.322666667,0.887507,0.495418,2.0747,0.541881,0.501773,0.336013,0.996071,0.0811301,0.191426,2.25852,0.830821,0.565626
1.365333333,0.899133,0.467363,2.16094,0.425863,0.493324,0.202545,0.535075,0.0208821,0.235027,2.51541,0.829265,0.478129
1.408000000,0.863389,0.345493,2.1244,0.707705,0.478179,0.209706,0.191094,0.25959,0.257548,2.58599,0.947588,0.52008
1.450666667,0.716416,0.0672114,2.124,1.10931,0.406062,0.145981,0.022855,0.424679,0.411727,2.42683,1.02915,0.56342
1.493333333,0.879048,0.0246766,1.71346,1.48046,0.456633,0.181434,0.220349,0.276977,1.96957,1.79984,0.374187,0.721977
1.536000000,1.43816,0.294366,0.63206,1.22504,0.29289,0.237642,0.66414,0.0602014,1.83722,1.66835,0.108108,0.836496
1.578666667,1.36555,0.578968,1.44778,0.294019,0.775143,0.0118345,0.722476,0.0108549,0.609617,1.81263,0.684411,0.711333
1.621333333,1.31031,0.707132,1.5336,0.844569,0.597401,0.039771,0.416329,0.0104621,0.137996,1.81761,0.536964,0.694572
