TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0.764393,0.23027,1.2628,1.11546,0.0125588,0.370451,0.332137,2.32508,0.709947,1.07777,0.447431,1.41617
0.170666667,0.220479,0,2.25375,0.273304,0.0218614,0.226963,0.70485,2.75599,0.327047,1.02992,0.387249,2.50051
0.213333333,0.15416,0,2.71996,0.0267708,0.0261412,0.160776,1.0008,2.80463,0.0861225,1.23308,0.402718,2.80064
0.256000000,0.0878812,0,2.97261,0.017058,0.0468256,0.141204,1.36939,2.76819,0.0939965,1.32439,0.359217,2.92346
0.298666667,0.0997145,0,3.16183,0.0174612,0.0287117,0.173316,1.49764,2.78981,0.0979966,1.34945,0.219114,2.94806
0.341333333,0.188225,0.000178494,3.1453,0.00893055,0.0241441,0.184203,1.16803,2.89108,0.227296,1.33526,0,2.98202
0.384000000,0.227512,0.00017271,2.79657,0.036387,0.0169064,0.019048,1.22827,2.97818,0.278051,1.15879,0.0260934,3.21651
0.426666667,0.0954989,0,2.78527,0.156509,0,0,1.29409,3.00199,0.145016,1.0245,0,3.49267
0.469333333,0.0126365,0,2.90359,0.161736,0,0.00763992,1.32387,3.08062,0.141173,1.0941,0,3.59061
0.512000000,0.00925181,0,3.08933,0.245314,0.0243277,0.0492023,1.23641,3.19276,0.12644,1.18987,0,3.60218
0.554666667,0.00367845,0,3.12735,0.281843,0.04817,0.0541027,0.992358,3.23993,0.273611,0.956907,0,3.49533
0.597333333,0.000976586,0,3.11912,0.319612,0.05014,0.0443369,0.834921,3.20794,0.373316,0.87006,0,3.26654
0.640000000,0,0.0373972,3.22379,0.25145,0.0690811,0.00992168,1.13508,3.16948,0.318347,0.8391,0,3.03147
0.682666667,0,0.121665,3.28636,0.144533,0.071363,0.0200539,1.39134,3.16958,0.0941572,0.928067,0,2.9998
0.725333333,0,0.177865,3.10949,0.00464939,0.0659503,0,1.47887,3.25325,0.071379,1.0778,0,3.03617
0.768000000,0,0.212802,2.97294,0.0102631,0.0490351,0.010756,1.43315,3.15659,0.0874806,1.32314,0,2.92785
0.810666667,0,0.0192681,3.12876,0.0306317,0.0273567,0.0615741,1.24266,3.09128,0.0940661,1.4146,0,3.21662
0.853333333,0,0,3.15525,0.0707357,0.015651,0.068023,1.07665,3.05693,0.0755195,1.22675,0.069687,3.51686
0.896000000,0,0,3.12568,0.0648883,0.0263391,0.0388121,1.13771,3.0679,0.0858038,0.86734,0.0642264,3.65339
0.938666667,0.00288894,0,3.0433,0.0146963,0.0508481,0.00165808,1.22631,3.21545,0.0636874,0.867582,0,3.51383
0.981333333,0.00438647,0,2.65044,0.00350475,0.0295081,0.000480606,1.19109,3.34286,0.125668,1.0067,0,3.17058
1.024000000,0,0.24174,2.28389,0.119462,0.079931,0.000612646,0.999035,3.37866,0.274544,0.971063,0.00511694,2.99284
1.066666667,0,0,2.3987,0.213785,0.109819,0.000393616,0.99543,3.28968,0.286004,0.998216,0.0232578,2.7757
