TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0,0,0,0,0,0,0,0,0,0,0,0
0.213333333,0,0,0,0,0,0,0,0,0,0,0,0
0.256000000,0,0,0,0,0,0,0,0,0,0,0,0
0.298666667,0,0,0,0,0,0,0,0,0,0,0,0
0.341333333,0,0,0,0,0,0,0,0,0,0,0,0
0.384000000,0,0,0,0,0,0,0,0,0,0,0,0
0.426666667,0,0,0,0,0,0,0,0,0,0,0,0
0.469333333,0,0,0,0,0,0,0,0,0,0,0,0
0.512000000,0,0,0,0,0,0,0,0,0,0,0,0
0.554666667,0,0,0,0,0,0,0,0,0,0,0,0
0.597333333,0,0,0,0,0,0,0,0,0,0,0,0
0.640000000,0,0,0,0,0,0,0,0,0,0,0,0
0.682666667,0,0,0,0,0,0,0,0,0,0,0,0
0.725333333,0,0,0,0,0,0,0,0,0,0,0,0
0.768000000,0,0,0,0,0,0,0,0,0,0,0,0
0.810666667,0,0,0,0,0,0,0,0,0,0,0,0
0.853333333,0,0,0,0,0,0,0,0,0,0,0,0
0.896000000,0,0,0,0,0,0,0,0,0,0,0,0
0.938666667,0,0,0,0,0,0,0,0,0,0,0,0
0.981333333,0,0,0,0,0,0,0,0,0,0,0,0
1.024000000,0,0,0,0,0,0,0,0,0,0,0,0
1.066666667,0,0,0,0,0,0,0,0,0,0,0,0
1.109333333,0,0,0,0,0,0,0,0,0,0,0,0
1.152000000,0,0,0,0,0,0,0,0,0,0,0,0
1.194666667,0,0,0,0,0,0,0,0,0,0,0,0
1.237333333,0,0,0,0,0,0,0,0,0,0,0,0
1.280000000,0,0,0,0,0,0,0,0,0,0,0,0
1.322666667,0,0,0,0,0,0,0,0,0,0,0,0
1.365333333,0,0,0,0,0,0,0,0,0,0,0,0
1.408000000,0,0,0,0,0,0,0,0,0,0,0,0
1.450666667,0,0,0,0,0,0,0,0,0,0,0,0
1.493333333,0,0,0,0,0,0,0,0,0,0,0,0
1.536000000,0,0,0,0,0,0,0,0,0,0,0,0
1.578666667,0,0,0,0,0,0,0,0,0,0,0,0
1.621333333,0,0,0,0,0,0,0,0,0,0,0,0
1.664000000,0,0,0,0,0,0,0,0,0,0,0,0
1.706666667,0,0,0,0,0,0,0,0,0,0,0,0
1.749333333,0,0,0,0,0,0,0,0,0,0,0,0
1.792000000,0,0,0,0,0,0,0,0,0,0,0,0
1.834666667,0,0,0,0,0,0,0,0,0,0,0,0
1.877333333,0.530426,0.546633,0.346129,0.489134,1.57204,1.32499,1.16442,1.34887,1.08349,1.38334,0.966317,1.05064
1.920000000,0.176953,0.0496392,0.842119,0.892633,1.45755,1.75513,1.36778,1.08741,1.36354,1.71762,1.19126,1.16852
1.962666667,0.0915582,0.000194732,0.476294,1.21877,1.28549,1.7637,1.50807,0.93152,1.24996,1.85543,1.32338,0.930655
