TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0.937199,0.0061747,1.07645,0.976996,0.0717253,0.0479614,0.0109346,0.703667,3.7267,0.755172,0.152115,0.401413
0.128000000,1.32828,0,1.33403,1.32391,0.221715,0.18447,0.000809318,0.255397,4.07401,0.409328,0.273656,0.622483
0.170666667,1.47389,0.082999,1.3888,1.39834,0.0980798,0.223562,0.00325787,0.2106,4.19484,0.380475,0.320704,0.488757
0.213333333,1.58328,0.182154,1.31419,1.45765,0.0347098,0.113546,0.0495197,0.180285,4.17042,0.306204,0.314916,0.353292
0.256000000,1.21031,0.00181409,1.37078,0.893337,0.0331695,1.10028,0.0349362,0.100904,4.14537,0.615942,0.254121,0.262378
0.298666667,0.478017,0.867417,0.585488,0.636399,0.85208,1.42815,0.0139408,0.0193934,3.25402,1.21001,0.394076,0.179655
0.341333333,0.24227,1.6683,0,0.659473,1.51413,1.41845,0,0.162629,1.35255,2.73737,0.224277,0.473498
0.384000000,0.216995,2.05019,0.000637633,0.702502,2.0088,1.30476,0,0.358563,0.57984,3.23117,0.139144,0.532309
0.426666667,0.263919,2.37757,0.00291068,0.677586,2.27533,1.24831,0,0.456914,0.376254,3.44839,0.0809699,0.462183
0.469333333,0.388656,2.55932,0.00179984,0.518841,2.34409,1.38343,0,0.344753,0.328189,3.57592,0.0704374,0.403954
0.512000000,0.428708,2.51541,0.00170375,0.403113,2.3335,1.59993,0,0.214241,0.241891,3.63084,0.0565572,0.48066
0.554666667,0.352872,2.48312,0.00291081,0.322681,2.2508,1.81741,0,0.204805,0.18164,3.5991,0.0412511,0.591919
0.597333333,0.366499,2.46469,0.0311987,0.351069,2.12597,2.01966,0,0.183338,0.22295,3.69371,0.0371059,0.556051
0.640000000,0.489309,2.493,0.00784367,0.227623,2.2089,2.00599,0,0.476021,0.26483,3.77469,0.0285819,0.373244
0.682666667,0.632564,2.4674,0.00267258,0.105597,2.43607,1.64369,0,1.14018,0.199952,3.66002,0.0320066,0.30416
0.725333333,0.814685,2.40087,0.00416389,0.111058,2.53449,1.02694,0,1.8015,0.15509,3.5049,0.0436733,0.276608
0.768000000,0.90103,2.52174,0.00431849,0.136709,2.52572,0.376474,0,2.32881,0.137543,3.34346,0.0605952,0.194132
0.810666667,0.724296,2.54309,0.00321479,0.151205,2.64169,0.0637401,0,2.48426,0.020968,3.26957,0.0801603,0.128592
0.853333333,0.283271,2.50731,0.0031638,0.0953805,2.77668,0,0,2.39848,0.0189432,2.90602,0.848182,0.0773331
0.896000000,0.199344,2.35256,0.207049,0.0754312,2.60545,0.0202667,0.00690705,2.46603,0.0244635,2.56151,1.17544,0.036404
0.938666667,0.181862,2.0832,0.369471,0.0848273,2.39491,0.0535614,0,2.59743,0.0195235,2.89563,1.03,0.0238356
0.981333333,0.183257,1.90067,0.387369,0.202324,2.33969,0.100495,0,2.6461,0.0213853,3.21886,0.767893,0
1.024000000,0.209364,1.96994,0.453037,0.294582,2.42492,0.224239,0,2.53741,0.0276845,3.3441,0.381627,0
