TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0.380175,0.888438,1.23797,0.805153,1.12204,1.73093,0.274651,1.04394,0.815552,1.83471,0.562185,0.35902
0.213333333,0.472861,1.30484,1.63157,0.339265,0.903824,0.930575,0.0159941,1.11545,0.489571,1.92804,0.67922,0.450477
0.256000000,0.389648,1.18114,1.69817,0.469366,0.889975,0.80517,0.0266182,1.19226,0.577858,1.84624,0.642812,0.487519
0.298666667,0.197502,1.00535,1.69134,0.466971,0.891225,0.730449,0.218102,1.22063,0.505393,1.76074,0.773839,0.421966
0.341333333,0,0.912052,1.66412,0.180277,0.849403,0.892958,0.259001,0.921626,0.528023,2.12446,0.752051,0.433223
0.384000000,0.0874876,0.80416,1.45606,0.0827978,0.765062,1.1945,0.336494,0.480322,0.640477,2.30234,0.613533,0.612007
0.426666667,0.322774,1.05156,0.979463,0.0053916,0.62641,1.49688,0.322217,0.46402,1.19373,2.20298,0.319076,0.385676
0.469333333,0.171487,1.34649,1.27784,0.00458855,0.530163,1.27928,0.0927237,0.801227,1.48711,1.89451,0.149116,0.968974
0.512000000,0.202487,1.26175,1.53133,0.0853397,0.446087,0.570339,0.0790046,0.67279,1.57084,1.94481,0.0243923,0.975169
0.554666667,0.347746,0.977005,1.18787,0.0987872,0.59244,0.634352,0.274777,0.374843,1.38215,1.97579,0.0208483,0.722441
0.597333333,0.251859,0.645885,0.901485,0.0437196,1.47195,0.690925,0.301144,0.254387,0.954649,2.02183,0.049658,0.568112
0.640000000,0.0776011,1.1167,1.55035,0.0738524,1.61371,0.680167,0.185103,0.435597,0.738143,2.16843,0.876796,0.0892662
0.682666667,0.0168425,1.36332,1.62528,0.0609236,1.47251,0.777288,0.0304078,0.813711,0.630063,1.75247,1.03966,0.0945404
0.725333333,0.0483323,1.11166,1.54089,0.0263254,1.37059,0.864469,0.60779,0.517283,0.736344,2.01611,0.940976,0.322282
0.768000000,0.180429,0.878169,1.12095,0.059392,1.13317,0.93322,0.975696,0.24307,0.729338,2.06223,0.902674,0.498989
0.810666667,0.492226,1.36984,0.959202,0.505813,0.800535,1.30679,0.511283,0.433361,1.94377,1.41967,0.343509,0.451663
0.853333333,0.497037,1.41512,0.872342,0.688616,0.631453,1.22411,0.0533541,0.563133,2.13917,1.5977,0.0304205,0.610622
0.896000000,0.434887,1.37203,0.857919,0.429939,0.66852,1.04832,0.0879479,0.294378,1.81364,1.77001,0.0227481,0.688351
0.938666667,0.490826,0.964512,0.830174,0.117167,0.977286,1.06821,0.236305,0.10001,1.45046,1.79417,0.0396067,0.737089
0.981333333,0.145109,0.6145,1.20408,0.0501909,1.3547,0.982824,0.224282,0.185957,1.24044,2.31128,0.776998,0.532617
1.024000000,0.185403,1.12026,1.77114,0.128302,1.26535,0.710084,0.129247,0.334597,1.07407,2.1579,1.05099,0.335179
