TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0,0,0,0,0,0,0,0,0,0,0,0
0.213333333,0,0,0,0,0,0,0,0,0,0,0,0
0.256000000,0,0,0,0,0,0,0,0,0,0,0,0
0.298666667,0,0,0,0,0,0,0,0,0,0,0,0
0.341333333,0,0,0,0,0,0,0,0,0,0,0,0
0.384000000,0,0,0,0,0,0,0,0,0,0,0,0
0.426666667,0,0,0,0,0,0,0,0,0,0,0,0
0.469333333,0,0,0,0,0,0,0,0,0,0,0,0
0.512000000,0,0,0,0,0,0,0,0,0,0,0,0
0.554666667,0,0,0,0,0,0,0,0,0,0,0,0
0.597333333,0,0,0,0,0,0,0,0,0,0,0,0
0.640000000,0,0,0,0,0,0,0,0,0,0,0,0
0.682666667,0,0,0,0,0,0,0,0,0,0,0,0
0.725333333,0,0,0,0,0,0,0,0,0,0,0,0
0.768000000,0,0,0,0,0,0,0,0,0,0,0,0
0.810666667,0,0,0,0,0,0,0,0,0,0,0,0
0.853333333,0,0,0,0,0,0,0,0,0,0,0,0
0.896000000,0,0,0,0,0,0,0,0,0,0,0,0
0.938666667,0,0,0,0,0,0,0,0,0,0,0,0
0.981333333,0,0,0,0,0,0,0,0,0,0,0,0
1.024000000,0,0,0,0,0,0,0,0,0,0,0,0
1.066666667,0.996804,0.753964,1.03846,2.4097,0.136018,0.425878,0.773672,1.06975,0.264892,0.678694,1.52168,0.0161019
1.109333333,0.893145,0.307865,1.29172,2.53057,0.289451,0.0605806,0.823555,1.57456,0.35291,0.48948,1.28716,0.000199538
1.152000000,1.09409,0.213581,0.776684,1.99941,0.488485,0.0512752,0.95324,1.63447,1.27211,0.410137,0.931926,0.0874909
1.194666667,0.885348,0.239341,0.841449,1.4167,0.551528,0.167761,1.21674,1.16168,1.56258,0.432923,1.56807,0.275876
1.237333333,0.756429,0.483226,1.01586,1.36694,0.496765,0.345418,1.40249,0.95982,1.84666,0.595826,1.49834,0.199451
1.280000000,0.426714,0.624592,0.942032,1.41901,0.425606,0.398629,1.0315,0.486927,2.24482,0.605967,1.30051,0.027862
1.322666667,0.164138,0.801476,0.701797,1.32453,0.308395,0.974339,0.14137,0.219634,1.23717,1.96561,0.254311,0.142334
1.365333333,0.133757,1.74983,1.53289,0.274051,0.381154,1.73091,0.0261628,0.0596658,0.196604,1.85199,0.799919,0.104978
1.408000000,0.364551,1.93434,1.24288,0.441494,0.478783,1.63496,0.00239305,0.0450906,0.211759,1.70109,1.21899,0.00444894
1.450666667,0.663383,1.82005,0.628093,0.48519,0.655218,1.45638,4.93472e-05,0.103954,0.433161,1.62853,1.03194,0
1.493333333,0.99256,1.21135,0.439375,0.218879,0.856934,1.31201,0.184818,0.534197,0.751693,1.38119,0.37078,0
1.536000000,0.614685,0.149413,0.742297,0.0495281,0.892739,1.49879,0.356615,1.09899,1.20421,0.596071,0,0.169444
