TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0.595905,1.9248,1.37717,0.105023,1.01065,0.595132,0.338659,1.47446,1.07306,1.67876,1.17408,0.645111
0.213333333,0.717576,1.76881,0.511186,0.0547363,1.30229,0.232445,0.453377,1.77512,1.12321,2.08689,0.846047,0.205513
0.256000000,1.13252,1.55542,0.543939,0.0388543,1.67125,0.184385,0.390578,1.73895,0.736113,2.45811,0.871909,0.29463
0.298666667,1.53422,1.35763,0.47995,0.0383416,2.08917,0.113568,0.340256,2.07376,0.426818,2.70482,0.81298,0.307202
0.341333333,1.83316,1.09197,0.429676,0.0375879,2.58395,0.0588432,0.29771,2.35968,0.26246,2.8591,0.715776,0.306773
0.384000000,2.32487,0.791474,0.524999,0.0364108,3.0123,0.0929417,0.180918,2.51758,0.190807,2.83017,0.494945,0.503027
0.426666667,2.86713,0.814494,0.606452,0.0191229,3.35222,0.0110124,0.0827567,2.65929,0.270679,2.61237,0.112795,0.863437
0.469333333,2.9187,1.09338,0.578179,0.00251549,3.54033,0.0185273,0.0835625,2.61589,0.301695,2.49471,0.0845999,0.967676
0.512000000,2.90646,1.15912,0.86561,0.236855,3.5532,0.0342969,0.0850361,2.53455,0.393064,2.45578,0.054808,0.993598
0.554666667,2.94318,0.961667,0.830852,0.331224,3.56571,0.0170045,0.106855,2.36059,0.205543,2.43613,0.371714,1.072
0.597333333,3.05864,0.719197,0.754025,0.312918,3.44643,0.010515,0.147837,2.22541,0.154457,2.49123,0.235922,1.0503
0.640000000,3.25945,0.462534,0.569202,0.017518,3.44073,0.0168059,0.343408,2.30314,0.214942,2.38566,0.234527,0.856801
0.682666667,3.02297,0.50765,0.561045,0.0629034,3.2102,0.100715,0.378306,2.38565,0.370325,1.94242,0.556969,0.549046
0.725333333,2.1833,0.990682,0.536505,0.0718991,2.52673,0.0787505,0.371053,2.30297,0.402836,2.32823,0.951056,0.283844
0.768000000,2.01131,1.07927,0.520243,0.0629553,2.6631,0.0087773,0.320619,2.50328,0.345002,2.68513,0.910815,0.29838
0.810666667,2.4767,0.865258,0.613686,0.0494366,3.0432,0.0506006,0.207481,2.63448,0.287738,2.72847,0.691696,0.4625
0.853333333,2.90978,0.959251,0.65001,0.0153201,3.37374,0,0.109555,2.62574,0.26491,2.54776,0.225023,0.86398
0.896000000,2.87635,1.13295,0.803328,0.0025986,3.58145,0.0288275,0.071339,2.57503,0.27215,2.3847,0.11943,0.941922
0.938666667,2.9208,1.03936,0.860344,0.249452,3.53684,0.046842,0.0764173,2.46178,0.419414,2.4829,0.106372,0.943916
0.981333333,2.93712,0.805046,0.798269,0.322004,3.54377,0.017299,0.119207,2.31952,0.109377,2.45648,0.377315,1.04183
1.024000000,2.98905,0.705749,0.564063,0.275005,3.51776,0.122516,0.107056,2.1881,0.332299,2.47585,0.205889,0.972959
