TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,0,0,0,0,0,0,0,0,0,0,0,0
0.213333333,0,0,0,0,0,0,0,0,0,0,0,0
0.256000000,0,0,0,0,0,0,0,0,0,0,0,0
0.298666667,0,0,0,0,0,0,0,0,0,0,0,0
0.341333333,0,0,0,0,0,0,0,0,0,0,0,0
0.384000000,0,0,0,0,0,0,0,0,0,0,0,0
0.426666667,0,0,0,0,0,0,0,0,0,0,0,0
0.469333333,0,0,0,0,0,0,0,0,0,0,0,0
0.512000000,0,0,0,0,0,0,0,0,0,0,0,0
0.554666667,0,0,0,0,0,0,0,0,0,0,0,0
0.597333333,0,0,0,0,0,0,0,0,0,0,0,0
0.640000000,0,0,0,0,0,0,0,0,0,0,0,0
0.682666667,0,0,0,0,0,0,0,0,0,0,0,0
0.725333333,0,0,0,0,0,0,0,0,0,0,0,0
0.768000000,0,0,0,0,0,0,0,0,0,0,0,0
0.810666667,0,0,0,0,0,0,0,0,0,0,0,0
0.853333333,0,0,0,0,0,0,0,0,0,0,0,0
0.896000000,0,0,0,0,0,0,0,0,0,0,0,0
0.938666667,0.349016,0,0.236355,0.921208,1.52365,1.32891,0.571066,0.598505,1.15742,2.80032,1.09008,0.412999
0.981333333,0.052305,0,0.20389,1.15571,1.72983,1.33336,0.504438,0.254273,0.352792,3.85126,0.736402,0
1.024000000,0.191472,0,0.264438,1.1572,1.70865,1.31868,0.429128,0.168019,0.0359557,4.21942,0.522508,0
1.066666667,0.272238,0.0101331,0.316407,1.13543,1.75544,1.29454,0.381976,0.141522,0.00958242,4.32717,0.374564,0
1.109333333,0.427188,0.189769,0.330426,1.11022,1.79606,1.22854,0.362305,0.12971,0.00786005,4.35955,0.245965,0
1.152000000,0.474892,0.108786,0.30478,1.05856,2.27941,0.942552,0.299647,0.0936526,0.00323817,4.25888,0.151975,0.000122449
1.194666667,0.379268,0.161639,0.564003,0.39493,2.22223,0.491686,0.327122,0.0426662,0.126081,3.41657,0.215812,0.0679713
1.237333333,0.331889,0.0686596,1.43408,0.0470001,1.17681,0.580449,0.201958,0.00327006,0.336718,3.0419,0.198372,0.221686
1.280000000,0.402881,0.0508466,1.27834,0.31843,1.11995,0.450516,0.329557,0.260057,0.308761,3.13596,0.165214,0.185519
1.322666667,0.154509,0.12697,1.35071,1.69238,1.04878,0.484646,0.408733,0.0489961,0.311651,2.98342,0.0109179,0.0796919
1.365333333,0.091212,0.088404,1.25505,1.88641,1.17574,0.583914,0.312216,0.112511,0.314338,2.88832,0.205169,0.134015
1.408000000,0.119923,0.395478,0.716383,1.81482,1.1964,0.545298,0.23787,0.0660344,0.360575,2.96102,0.418332,0.327492
1.450666667,0.282386,1.10623,0.178294,1.86354,0.583004,0.444176,0.384199,0.0655889,0.262293,3.63959,0.933327,0.0255902
