TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0,0,0,0,0,0,0,0,0,0,0,0
0.128000000,0,0,0,0,0,0,0,0,0,0,0,0
0.170666667,1.05624,0.140138,3.8369,0.296431,0,0.821589,0.98796,0.0845883,0.656952,1.65045,2.58518,0.26606
0.213333333,0.982717,0.265491,3.9748,0.142333,0.0275364,1.01373,1.1428,0.0692753,0.539101,1.87363,2.57871,0.234418
0.256000000,0.794028,0.437016,4.0249,0.0730095,0.220457,1.09124,0.808289,0.0434064,0.785219,1.71503,2.59026,0.117063
0.298666667,0.845877,0.462496,3.82104,0.0212261,0.361273,0.969375,0.643807,0.00186117,0.961209,1.60361,2.60376,0.0719296
0.341333333,0.933682,0.3182,3.78899,0.0838344,0.417405,0.655061,0.713273,0,0.979883,1.36616,2.47826,0.167407
0.384000000,0.939298,0.218193,3.70135,0.0975473,0.398094,0.376529,0.787043,0,0.979141,1.31458,2.50287,0.155693
0.426666667,0.900544,0.210853,3.84958,0.0425307,0.325991,0.292149,0.746976,0,0.790422,1.47043,2.47047,0.149357
0.469333333,0.838811,0.278133,3.99268,0.0624703,0.203206,0.464826,0.669757,0.0503767,0.597023,1.52993,2.3282,0.129191
0.512000000,0.836749,0.406415,4.06062,0.0499317,0.127894,0.55414,0.668906,0.103539,0.310519,1.64429,2.45043,0.0620038
0.554666667,0.883119,0.288544,4.19778,0.0166696,0.0867672,0.623484,0.826176,0.111582,0.185697,1.74623,2.6645,0.0202207
0.597333333,0.724373,0.121932,4.2088,0.0177943,0.224746,0.546281,0.964964,0.105561,0.167426,1.61063,2.93213,0.0266519
0.640000000,0.623317,0.068462,4.17346,0.0217391,0.22864,0.549971,0.918222,0.0401505,0.242011,1.49502,3.22693,0.00213567
0.682666667,0.532638,0.123652,3.95753,0.1073,0.252041,0.423074,0.881812,0.0421867,0.133745,1.30584,3.43953,0
0.725333333,0.519055,0.167783,4.02457,0.288576,0.317625,0.265247,0.947765,0,0.0035077,1.27281,3.40207,0
0.768000000,0.707183,0.123928,4.08242,0.364496,0.306068,0.244747,1.12226,0,0.0151212,1.1925,3.20996,0.0486762
0.810666667,0.896533,0.0147181,4.25996,0.15518,0.242856,0.0493148,1.43088,0,0.151028,1.4172,2.74217,0.188295
0.853333333,1.05042,0.00311625,4.57476,0.0108791,0.196911,0,1.48487,0,0.282214,1.03872,2.67658,0.223242
0.896000000,0.974182,0.000284255,4.71052,0.0208778,0.119741,0.120716,1.46049,0.0452541,0.417505,0.893775,2.42674,0.151575
0.938666667,0.805274,0.00813577,4.66254,0.0191045,0.0943237,0.208511,1.33565,0.0270427,0.472945,1.17781,2.70113,0.154458
0.981333333,0.690676,0.00148371,4.4494,0.0107554,0.269098,0.149663,1.07965,0,0.382314,1.37084,3.12379,0.0991671
1.024000000,0.418746,0.00321245,4.47345,0.187072,0.209497,0.217743,0.616681,0.0104851,0.233388,1.59847,3.32046,0
