TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.021333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.042666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.064000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.085333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.106666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.128000000,-471.543,11.9779,16.9395,8.1784,2.81217,0.219665,-1.36145,4.54203,4.05603,-1.07349,-2.37146,-3.04448,-1.05429,2.41972,0.172667,-2.07156,2.13748,1.43742,0.194861,-0.121883,-1.54249
0.149333333,-427.123,6.43398,9.20111,7.9521,1.74404,5.20388,5.03658,6.27357,5.53483,3.30826,0.276284,-0.469887,-2.49456,0.777147,1.66383,1.08593,0.306477,0.08595,-2.06272,-0.72616,-2.22708
0.170666667,-391.052,28.2575,12.7524,7.7845,-0.560363,-1.13038,-2.20865,1.76034,0.294828,0.463959,-3.65237,-3.38819,-4.4235,2.82372,3.60249,5.03269,-4.2873,-4.36556,-8.09955,-5.3151,-3.71005
0.192000000,-406.531,21.8549,16.0065,9.38216,-1.94377,0.415753,0.128254,5.02713,5.41937,5.899,1.40405,0.563488,-4.08828,-0.16248,-0.240165,-0.902677,-6.11223,-3.07236,-6.10124,-3.99948,-4.53219
0.213333333,-374.536,38.2894,14.8474,11.3544,3.24349,6.10527,3.39924,5.12806,-2.05754,-3.06691,-6.67403,-1.49991,-2.44857,1.07905,-1.82633,1.4396,-0.462582,-1.97041,-6.08254,-0.846061,-0.789722
0.234666667,-365.653,38.2497,13.2299,12.7815,5.87575,7.71702,5.89582,5.19536,-4.73314,-6.65836,-9.45496,-1.16333,-1.13122,2.85351,-0.18012,3.85633,-0.138829,-4.10655,-9.11267,-1.67313,-0.619936
0.256000000,-362.185,40.0557,13.1454,12.1414,7.15392,6.58801,5.99152,4.0958,-4.21715,-6.4357,-9.05294,-2.56859,-1.24099,2.00746,0.0392493,3.18507,-0.798883,-5.06121,-10.6172,-3.14481,-0.587002
0.277333333,-398.877,26.2839,17.5682,9.93554,5.71997,7.8178,6.23532,7.0884,2.44455,-1.31057,-4.09702,1.71734,-1.53477,-0.150509,-4.05013,-1.44319,-0.543186,-1.39529,-4.88316,-0.544821,-2.38035
0.298666667,-394.403,28.4636,16.9381,15.0225,8.96513,11.5211,7.87418,9.48888,0.21159,-5.55857,-2.7448,1.14366,-2.75354,-2.28249,-4.15247,-1.6388,-0.670025,-0.512195,-4.58908,1.8503,-0.197517
0.320000000,-391.252,30.0424,16.7252,15.0154,8.32218,10.1312,8.99688,7.10516,-1.2488,-2.23984,-4.64834,1.02218,-0.923668,-1.66183,-5.95637,-0.368795,-1.37177,-0.8591,-4.32969,-0.0637919,-2.3387
0.341333333,-396.754,25.2121,17.7352,16.0948,9.18948,13.9216,10.5154,9.03065,-1.28599,-4.6765,-5.11587,2.23714,1.79683,-1.89278,-7.95291,-0.560556,-0.761923,0.532202,-4.16595,-0.754254,-1.44596
0.362666667,-393.53,27.5415,18.6052,13.6636,10.0083,13.1325,8.64791,7.67463,-0.525659,-3.70061,-5.89155,2.0567,1.64064,-1.53914,-5.90124,-1.14486,-1.31689,-2.52998,-5.88735,-0.700284,-2.01689
0.384000000,-396.342,26.6421,16.5893,14.7419,10.617,13.407,8.02812,5.47702,-1.43774,-4.46831,-5.94349,-0.591092,-1.90038,0.383094,-4.25192,0.635902,-2.16319,-1.10587,-5.89047,0.254891,-0.364505
0.405333333,-396.64,28.2267,18.3068,12.5487,9.02456,11.0379,5.945,5.73866,-3.32206,-6.50966,-7.04331,-2.65188,-1.52215,1.4204,-2.78838,1.42141,0.11002,-2.03405,-5.58346,-0.64376,-2.48798
0.426666667,-370.754,38.9209,14.4833,14.6537,5.89845,7.38849,5.92969,3.50447,-3.19644,-5.74122,-8.17168,-2.18909,-0.00124088,2.68203,-1.1585,3.67113,1.47713,-0.319305,-4.69813,2.86576,4.06464
0.448000000,-362.088,40.2872,13.8211,16.0667,9.554,10.2217,9.28403,5.66815,-5.99401,-8.86217,-10.13,-1.20328,0.657037,2.50151,0.242486,4.97531,1.31178,-1.41958,-8.78461,0.328713,2.91228
0.469333333,-346.487,45.706,14.0629,12.0985,3.81812,6.16158,3.58635,7.58514,0.817203,1.81136,-2.20076,0.639866,-2.38842,0.154785,-2.59462,0.689997,-1.22637,-1.0861,-3.35615,1.60804,0.308027
0.490666667,-355.18,43.7269,14.4442,11.4569,5.7744,6.3805,6.3313,4.8783,-2.0709,-2.062,-5.38984,-0.74785,-0.836753,0.792203,-1.02565,1.38134,-0.270236,-2.17752,-5.91687,1.01622,0.851875
