TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.021333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.042666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.064000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.085333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.106666667,-489.469,-12.761,8.70231,-2.35856,2.55532,0.813122,0.265487,0.483802,3.23712,-0.169636,1.84716,-0.105739,1.1782,-0.0041932,-1.1754,-0.0667055,-0.780808,-3.60831,-2.96424,0.0228236,-0.99105
0.128000000,-465.749,-15.7323,10.7347,5.79003,7.02473,3.38679,1.82865,0.013106,2.74738,0.562862,-0.796648,0.226304,2.15803,2.39115,2.14099,-2.03317,-3.08996,-2.45316,-0.428406,-1.8675,-1.59961
0.149333333,-336.951,-2.95042,8.45521,-7.18463,9.21309,-3.16605,2.01556,2.48565,5.4858,9.75687,5.68825,0.768381,-3.67415,-3.27911,-1.93539,-0.614399,0.676031,1.89728,4.63605,5.99263,1.66309
0.170666667,-332.48,-0.472536,4.43871,-12.4373,5.84133,-4.81779,3.74584,7.65836,7.76508,8.2294,5.89312,3.11324,2.38725,-0.999617,-1.43679,0.209584,1.7151,1.40991,1.06556,0.176355,0.833814
0.192000000,-332.097,-0.35527,7.85191,-6.6909,9.03367,-2.99712,3.20086,4.02976,4.65047,8.31572,4.90936,1.05568,-2.45684,-3.01233,0.00202167,2.57644,1.57262,1.67221,1.76937,2.36713,1.32143
0.213333333,-333.286,-1.09274,8.81265,-7.76851,9.83132,-1.45561,1.89083,2.35968,3.6755,7.00297,4.49896,-0.0900644,-1.79881,-3.64856,-1.01855,0.377055,1.25884,3.29774,3.42487,1.4817,-0.516664
0.234666667,-332.165,2.15484,7.64608,-8.53181,8.93883,-4.13441,2.97948,4.20783,4.83551,6.11462,3.79919,0.4254,-1.20627,-0.724612,1.94048,2.09237,2.2017,0.0241215,-1.02905,0.830503,0.791156
0.256000000,-330.155,-0.78234,6.51361,-9.39522,7.65695,-3.10529,2.86811,4.28068,5.15698,5.46225,5.20416,2.31268,1.60114,2.18389,3.54928,3.57394,1.22806,-0.965283,0.595256,0.457928,1.53442
0.277333333,-329.548,1.83395,6.45187,-8.26443,8.71648,-0.550149,5.11539,2.61541,3.22351,4.70998,2.74493,1.95886,-0.85455,-1.53171,2.16656,1.89623,0.29252,-0.020864,1.12029,0.523252,-0.226472
0.298666667,-332.095,-0.718317,6.80158,-8.09072,7.94877,-2.22747,3.98624,6.32461,7.43771,7.95803,5.22362,1.32291,-2.08252,-2.75292,0.227964,1.8475,2.04128,0.971661,0.842998,-0.91651,-1.05531
0.320000000,-332.07,-1.79316,4.72502,-9.20026,9.58278,-0.600658,4.65996,2.63702,4.15791,6.28611,4.17107,1.19933,-0.353268,-1.63845,0.627827,1.77643,4.38941,1.73226,-0.334079,3.31007,1.81459
0.341333333,-334.072,-3.10617,1.93172,-12.552,5.95697,-1.96572,4.53004,4.29673,6.1464,8.58644,6.61792,4.08,2.89714,-1.41638,-0.608667,1.04954,0.129514,-2.00101,1.87072,2.13806,0.185388
0.362666667,-333.232,0.381957,3.73914,-13.0827,7.1124,-0.762851,3.38398,3.98353,5.05599,8.37662,4.34066,-0.976073,-4.65891,-2.81296,-2.23712,-0.39001,2.08853,3.20448,2.06847,1.12554,0.937192
0.384000000,-332.965,0.225128,6.29001,-10.1516,6.19745,-3.66001,3.5637,4.44061,6.13761,8.65036,5.84607,2.38256,-1.73494,-1.76412,1.25702,2.13346,1.09005,0.718635,3.23976,2.74679,1.27858
0.405333333,-333.336,0.111273,8.20639,-10.2256,6.18755,-1.89219,3.32339,1.53341,2.95291,6.0508,6.54525,4.01563,-0.989588,-2.21483,-0.132562,-0.685635,1.1996,2.49631,2.53255,4.00169,0.239211
0.426666667,-328.897,0.628508,6.30259,-10.0873,6.35377,-0.440955,3.29258,1.78493,3.39475,7.97669,5.15834,0.30984,-0.39658,-2.37019,-0.974708,-0.239579,1.73372,4.65425,4.85877,2.88843,-0.0706626
0.448000000,-330.883,-0.157504,6.25574,-11.2448,4.51843,-4.1609,4.05455,4.39608,3.68267,9.15305,2.52781,-1.9515,-2.95275,-5.08221,-1.53982,0.653988,1.92969,2.29276,2.27391,1.79116,0.905093
0.469333333,-333.51,0.614171,9.77153,-8.12889,5.26391,-7.03647,-1.6335,4.35948,6.10755,6.46776,3.1009,-1.11791,-2.75419,-2.25961,0.474429,3.90702,3.62614,1.11291,3.18827,2.20456,0.963302
0.490666667,-326.347,1.64035,4.7343,-11.9451,4.5199,-6.39314,1.89075,4.04486,3.73471,6.27993,2.70151,2.16678,0.171525,-2.33499,1.43315,1.62624,2.96942,2.47996,3.0028,4.23779,2.6159
0.512000000,-328.22,1.64863,5.16299,-13.4564,5.13046,-5.07658,1.52557,1.61381,4.39894,9.64058,6.84474,3.74598,0.92968,-0.0579145,3.15531,2.32842,1.94766,2.30917,4.07291,3.23098,-0.346671
