TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-325.849,7.85009,-17.1855,-2.7179,1.03188,1.18454,-3.95565,0.943515,-0.934329,-0.745056,2.19828,-0.0691886,0.903213,1.48671,-0.698106,0.511082,0.126844,-1.58144,-0.277415,0.16234,-0.892967
0.021333333,-157.164,11.4076,0.741391,9.86744,4.76883,7.19825,0.734135,2.33052,-1.98756,0.174987,0.336816,1.04718,-1.99349,-2.38462,-2.65694,-2.7513,-0.643596,-1.01656,-1.57248,-0.828971,-1.89918
0.042666667,-219.556,11.6803,8.06231,17.6079,8.36981,9.42429,5.20648,3.82438,0.999412,4.25404,3.87511,2.37892,4.45217,2.85958,2.47498,1.63012,3.0258,-0.548051,0.892991,-0.890118,-1.75608
0.064000000,-254.422,16.0051,13.3393,19.7673,11.6844,11.3511,4.29076,3.41123,3.98031,5.7562,4.83557,4.68565,2.17256,0.315103,2.0988,-1.35802,-1.09843,-1.50406,-0.524013,0.00437142,-0.432238
0.085333333,-305.487,37.6751,21.1053,12.8902,9.42373,11.3831,4.97908,7.23916,4.97125,3.76822,2.49048,3.1707,1.56343,0.952867,2.51973,2.86306,1.67115,5.12026,3.11582,2.71565,1.33771
0.106666667,-351.776,18.4903,29.4149,27.9094,13.433,12.7831,5.58737,8.8475,3.1774,8.31021,5.53628,6.46314,1.58123,5.86615,0.910329,1.41065,-0.308778,1.05067,-1.94926,2.08083,-0.95401
0.128000000,-348.363,4.07585,17.8903,24.3105,16.1723,16.3613,8.23766,9.50451,7.13891,8.33267,5.34754,5.20992,1.839,3.4626,1.96791,2.71381,-0.631791,-0.0922257,-2.25518,-2.05042,-1.80685
0.149333333,-238.961,14.6774,13.3356,14.0125,5.67747,5.78993,4.03901,4.41516,1.44501,1.66585,0.65674,2.06474,0.54933,-2.89928,-3.66008,-3.01292,-0.0484533,0.789021,0.916615,2.15127,-1.09362
0.170666667,-219.975,-4.22054,8.67605,18.5875,4.84544,5.62792,3.18557,6.86591,5.18275,8.39248,3.42706,2.96675,1.42398,2.27005,0.359759,0.833139,0.120565,-0.807672,-0.811768,0.702459,0.820031
0.192000000,-244.041,7.94443,15.5325,23.5923,7.3392,6.48045,5.06042,5.5316,3.47676,2.36768,0.0314484,1.09088,0.536999,1.19438,-0.196663,-0.899876,0.0969815,-0.283623,0.451908,3.37607,0.880198
0.213333333,-285.319,10.3184,22.3198,22.6271,12.2046,9.2997,4.00529,2.92336,0.0412527,3.29156,3.89797,2.93608,2.83174,1.37571,2.1711,1.91496,1.48845,-1.15795,0.348799,1.64275,0.367509
0.234666667,-293.15,3.61729,20.5617,24.5806,13.9053,12.7994,6.33871,6.45316,4.37647,5.6082,3.65676,4.16391,4.69556,6.17266,2.19149,1.05684,-0.0294756,0.018656,0.142438,1.11728,0.16391
0.256000000,-254.126,-4.45993,-2.40457,12.6455,8.84923,19.4949,13.783,10.3931,6.01105,6.15412,0.454106,1.90021,4.33057,4.00069,2.1101,1.25709,2.37673,-0.171204,2.08351,1.81408,2.35237
0.277333333,-171.211,-25.4877,-1.83544,18.7467,8.97519,8.66922,3.50341,4.48475,3.51103,7.12983,2.4675,2.31822,2.57219,6.67337,5.48926,2.94122,-0.196316,-2.03311,-1.97068,2.90769,2.26125
0.298666667,-186.245,-16.358,-2.73307,18.9082,7.01219,10.3961,6.13865,5.97368,4.51394,3.95319,-0.459152,-0.178618,2.70576,5.98406,4.44747,3.47101,2.10966,-3.4414,-3.2401,2.09097,2.95384
0.320000000,-215.996,-8.20452,-4.57455,15.1299,10.2756,11.0651,10.4947,8.83488,5.23897,3.81481,0.841216,-0.808625,4.57482,7.34032,3.9962,1.57206,-0.823023,-4.2435,-0.603305,3.88764,2.76307
0.341333333,-314.688,-11.9157,11.9364,24.0793,18.887,18.6404,10.2865,8.84949,6.89731,8.64326,7.18974,4.33036,2.26698,3.8357,3.57322,3.07083,1.26932,0.796715,1.48845,0.891247,0.154375
0.362666667,-309.945,-9.91461,12.1182,22.7329,14.9578,15.3826,9.41635,10.3082,7.60376,8.81946,6.72453,6.80687,5.16172,3.88855,3.5534,2.58189,1.62943,0.551632,-1.39358,-0.448065,0.708597
0.384000000,-309.66,-5.08343,13.8914,21.5218,16.0909,13.1171,9.99006,9.17951,4.67321,5.00894,5.01182,6.41323,5.8128,4.13214,5.21748,3.62743,2.50453,2.45326,0.66231,1.25965,0.842529
0.405333333,-204.648,10.9336,3.55578,14.5442,10.6853,10.7933,5.59166,3.43979,2.0271,0.318748,-1.13,0.981585,1.08821,-1.50826,-1.05646,-3.0943,-0.670077,-0.0793525,0.907529,-0.598609,-0.575572
0.426666667,-225.223,12.8067,4.27679,13.8625,3.56006,7.80968,6.83094,5.24655,2.87683,3.12183,1.97313,5.01041,3.64899,3.00936,0.286157,-0.468316,0.249723,-0.0463307,0.959663,-0.547306,-0.81408
0.448000000,-265.008,14.6767,8.83885,19.4148,11.0685,8.30723,4.84323,3.52558,4.47468,2.26139,5.16527,3.85729,2.98118,1.74867,0.20101,-2.05919,-2.13618,-3.15422,-0.914613,-0.597281,0.00750245
0.469333333,-317.46,20.2465,25.5113,22.5948,10.2162,11.0192,7.49438,7.32678,4.45324,5.14993,5.79702,5.92236,2.74896,5.1428,4.08976,3.57627,0.493038,2.16484,1.87416,1.05207,0.0418379
0.490666667,-332.443,7.97327,19.167,26.5248,13.932,16.569,7.98704,8.75649,1.66373,5.94312,2.21875,6.65662,1.19783,3.48184,1.81512,2.30384,-1.5272,2.39822,0.212183,1.97837,-1.59727
0.512000000,-143.745,7.84202,-17.8738,6.6963,-1.99922,5.55825,3.8619,3.2055,5.00351,2.72959,-2.8909,-0.733474,3.20103,3.81312,1.92586,0.195852,-1.05242,0.781988,0.483614,2.75963,1.8858
