TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.021333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.042666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.064000000,-653.994,-14.9307,3.56724,4.35317,1.63303,0.668332,0.00749679,-0.68471,-1.2682,1.80787,1.14374,-2.14656,-4.04192,-0.525296,3.07997,3.26841,0.486366,0.607335,1.45194,-0.0446639,-2.27313
0.085333333,-533.091,-13.9962,-1.37741,1.37499,2.72054,4.59375,8.35814,5.07012,6.729,6.53863,3.72945,1.12385,-0.00675952,1.3915,0.168539,-1.16714,-0.503,-1.14214,-1.22106,-1.21682,-0.669889
0.106666667,-439.231,29.9181,21.4898,4.11309,5.85319,3.4491,2.03731,-1.32462,0.9895,-0.0485516,0.0838829,0.401449,-0.95157,-0.626114,2.32746,-0.575354,-1.25086,0.725192,-1.94383,0.793802,0.555942
0.128000000,-327.807,30.2542,7.81697,10.8102,3.23093,3.58281,5.32328,1.9878,-0.65438,-1.30048,-0.844965,0.114966,0.73992,0.496539,-3.3443,-5.44361,-2.61175,-0.723363,-1.96166,-2.52551,-1.73711
0.149333333,-322.404,28.133,2.74344,8.46846,3.65921,2.49679,4.70506,3.47043,1.4504,0.842848,1.41705,0.426115,0.0595428,-3.51566,-2.97717,-3.04596,-4.86249,-5.38283,-6.39202,-1.3282,-1.43747
0.170666667,-320.569,26.0077,1.27467,6.78066,3.95259,3.68028,2.63106,0.656663,-0.584051,-1.95075,-0.35786,-1.15878,-2.05983,-0.3518,-1.38793,-1.16681,-4.88452,-4.57558,-4.77688,-2.85519,-1.41365
0.192000000,-320.235,22.5737,1.24441,5.66689,4.56711,0.998634,4.0912,-1.3365,-1.25123,-3.96536,0.104448,-1.05074,-1.30178,-3.35007,-1.91273,-2.63525,-3.14846,-3.7967,0.694868,-0.473934,-2.31877
0.213333333,-320.649,23.9444,-1.2939,5.59383,2.28526,-0.0655446,-0.409182,-0.44229,-1.22763,-3.66504,-3.92206,-2.1413,-2.87323,-1.72474,-3.42502,-2.38156,-2.51881,-0.567542,-1.65533,-4.08138,-3.90886
0.234666667,-322.648,25.3543,-1.12295,6.99422,3.4572,1.36008,1.31587,1.42418,-0.129145,-3.05711,-3.42802,-5.28388,-5.77494,-2.89515,-3.04242,-2.0195,-2.33676,-1.17034,-1.06169,0.700077,-1.87554
0.256000000,-317.35,25.8741,0.307442,8.42885,2.00214,0.87819,-0.260465,-1.62006,-1.44399,-1.02163,0.164796,-1.98898,-2.15693,-0.661849,-3.11252,-2.30616,-4.05827,-2.0566,-3.02649,-1.34577,-3.0655
0.277333333,-315.861,26.0572,-3.37412,3.86372,-0.178827,0.337316,0.214604,2.12182,-0.746128,-0.794488,1.12434,0.885739,0.277288,-0.679284,-2.76997,-4.69021,-6.53282,-6.24023,-6.2819,-2.61144,-2.6998
0.298666667,-319.672,22.8283,-4.14872,4.64878,-2.69127,-0.639194,-2.15737,-1.6118,-3.40742,-0.569567,1.1065,0.750136,-1.79226,0.540565,-3.69791,-2.52356,-4.57123,-4.50846,-4.63525,-3.21927,-4.06265
0.320000000,-322.316,18.7521,-8.23542,2.79642,-3.52062,-0.285305,-2.99361,-1.28133,-4.9363,-5.08487,-5.51211,-1.73067,-2.89553,2.19845,-1.36584,-1.14616,-1.80411,0.335822,-1.6684,-0.226587,-2.07354
0.341333333,-313.244,24.9631,-2.08156,5.84313,-2.05229,-1.54239,-2.08074,-1.14097,-2.77437,-2.39377,-1.97602,0.404129,-2.75933,-1.81587,-2.82644,-1.56673,-4.41282,-2.61396,-3.83998,-2.80254,-2.07023
0.362666667,-312.214,27.1047,-1.44743,6.59634,0.129973,1.32225,1.20564,1.12112,-0.721749,-1.86723,-0.287929,-1.58079,-3.87225,-3.54512,-5.91927,-3.14444,-2.96086,-1.6565,-3.36726,-2.46029,-3.2562
0.384000000,-311.442,26.7953,-0.163726,10.4214,3.052,0.910206,-3.13917,0.052276,-2.43355,-3.41002,-2.14763,-1.28948,-2.09926,-0.865028,-4.1733,-5.51624,-6.31505,-4.74507,-4.39209,-2.29675,-3.36146
0.405333333,-304.009,33.3707,-0.0603862,3.35627,0.200036,1.449,-3.55375,0.17671,-1.62525,-2.75214,-0.783801,-0.808996,-3.29138,-1.76408,-4.55631,-6.18105,-6.12132,-6.31736,-5.07159,-1.94406,-2.68349
0.426666667,-307.178,29.922,2.22407,8.77609,2.49005,-0.580383,-1.17374,-0.0079611,-2.41691,-0.556374,-0.659687,-3.18607,-2.6896,-2.68178,-4.80957,-4.45412,-6.71419,-4.48194,-3.15185,-3.11424,-4.68109
0.448000000,-304.697,28.7538,1.1576,4.30252,2.02756,0.640623,1.00286,2.71637,-0.01549,0.154913,-1.40049,-2.6707,-7.37316,-6.09858,-7.50346,-1.74417,-3.5191,-3.07174,-5.57026,-5.55765,-2.69101
0.469333333,-303.682,25.5251,-0.307601,5.77364,0.393111,0.10953,1.46545,0.137331,0.301692,-1.72904,-0.223217,-2.39031,-4.3513,-3.72795,-6.60313,-5.27803,-7.36644,-6.93708,-5.43442,-3.93255,-4.74159
0.490666667,-307.233,25.114,-3.30201,7.29373,2.15698,4.08784,2.29494,1.47414,0.816437,0.0274067,0.798154,-2.2279,-6.00377,-4.54079,-5.87824,-5.50776,-6.20312,-3.70782,-4.75243,-1.80627,-4.63231
0.512000000,-303.53,28.3842,-2.7522,3.66415,-0.299418,0.574596,0.79764,1.63762,-0.872406,-0.303531,-1.09562,0.726246,-4.66061,-3.65746,-6.45188,-5.85388,-5.42722,-4.749,-4.38116,-2.67056,-3.79328
