TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-546.572,-18.6756,8.01905,4.69007,4.50793,7.98958,6.11298,-0.0843793,0.526323,3.6873,3.22616,-1.12772,-0.339602,5.32925,2.11722,0.614057,1.85542,-0.310524,-1.51322,0.136857,-0.843175
0.021333333,-532.84,-25.1457,-0.187472,-2.66191,3.40415,1.34565,0.0852725,2.66891,2.07805,3.87784,4.31157,4.55799,4.51649,4.40594,4.00249,3.88767,1.17141,0.046119,1.27924,-0.0303816,0.112755
0.042666667,-529.05,-25.8507,-0.52515,0.101022,4.97654,0.518792,0.598526,1.26321,4.58525,2.98762,3.46637,3.17025,3.15145,2.17022,1.90741,0.0152005,-0.287247,1.35972,-0.388691,0.628608,1.13102
0.064000000,-535.202,-26.6903,0.410869,-0.738526,1.66143,1.43964,3.5817,2.52136,4.50112,4.28607,1.91567,2.21997,1.09155,-0.506439,1.22064,1.86567,1.23475,-1.56356,-2.84593,-0.468345,-1.32374
0.085333333,-533.329,-26.6697,1.73156,-0.96099,1.12285,0.401429,2.98144,0.838154,0.203893,-1.86211,1.39501,2.39686,4.23946,4.61193,2.72214,2.13075,0.247017,-2.72381,-1.3503,-0.614168,0.677683
0.106666667,-531.726,-26.4476,1.47178,-2.28928,2.99008,-0.590884,2.42328,-1.41589,-0.312285,-1.57791,1.2911,-0.423213,1.09967,0.673865,0.171065,-1.02554,-0.0106851,-1.11043,-2.19528,0.0938448,3.04187
0.128000000,-538.651,-30.0106,-0.192863,-2.66539,0.909564,-1.37925,1.16606,2.03543,1.93525,2.62453,3.12058,1.69628,0.140419,-2.81421,-2.88458,-1.41533,-1.33719,-3.99934,-1.8517,-0.179877,-1.43544
0.149333333,-533.506,-29.055,-0.325494,-3.36758,0.616347,-0.360806,2.53297,0.435555,2.60928,-0.601238,-0.591042,-1.50338,1.78399,0.287457,-0.0545954,0.522257,1.25658,1.45854,1.252,1.48161,1.70755
0.170666667,-532.89,-28.3955,-0.200704,-1.69273,2.33907,0.0745957,1.77463,-0.81201,0.793175,-1.06634,0.26812,1.62434,1.15341,-1.37567,-0.921807,-2.2151,-2.0547,-3.51153,-1.00281,0.387846,2.95746
0.192000000,-532.155,-27.4276,-1.66833,-3.53176,1.25078,-0.254082,1.14858,-1.40523,-0.702675,0.402884,2.44443,-0.136367,1.48333,1.59509,1.48258,0.0951964,-0.670582,-1.70279,0.162832,0.612684,1.38268
0.213333333,-535.759,-27.9997,-2.06988,-5.75829,2.85179,1.33437,2.97808,2.806,2.44463,0.952454,0.914945,-1.96628,1.13044,-0.203865,-0.756489,-0.344882,-1.81533,-1.14829,-0.283062,2.1738,1.15259
0.234666667,-531.511,-27.9727,0.646038,-4.21008,-1.54714,-0.11484,2.76968,0.654496,3.5643,0.999588,2.48994,0.558471,0.434263,0.944273,3.06543,2.96295,1.41866,0.181824,1.55653,0.675967,0.223758
0.256000000,-531.049,-24.7648,0.0104642,-5.1218,2.21166,-1.97524,-0.209159,-0.138554,1.64097,0.451245,4.32963,0.726943,-0.587507,0.791257,0.724067,-1.04759,0.77116,0.273635,2.3932,1.17099,1.84952
