TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.021333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.042666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.064000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.085333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.106666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.128000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.149333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.170666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.192000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.213333333,-616.291,-27.8794,-0.824107,-0.967693,1.66687,4.72654,-4.47369,-1.14077,-0.711142,0.565912,-2.96379,-3.20071,-0.929043,3.45047,2.02541,0.299099,1.08699,1.73708,-0.202873,-0.555938,0.790661
0.234666667,-478.607,-5.77456,14.703,7.73978,9.14658,4.13623,1.04325,-3.34731,-3.39765,-3.48177,-3.54678,-5.14435,-1.10316,1.15175,-0.811916,-3.08933,-0.981954,0.213221,-1.22746,-0.487671,1.72568
0.256000000,-417.079,41.3969,40.6748,15.2002,9.45645,4.38089,3.95484,0.35439,-1.18215,-3.02723,2.95079,0.818588,3.45571,3.37287,2.66562,1.64976,0.839507,-2.58356,-0.855351,1.44871,0.926455
0.277333333,-405.985,47.5095,47.4455,16.6971,9.59669,-0.881562,1.76453,0.768303,2.43035,-1.18314,-0.0543838,0.940979,1.60229,-0.369414,-0.365056,-3.42295,0.150084,-1.14962,-0.518031,-0.851689,0.831121
0.298666667,-406.128,47.9681,44.8597,15.4151,7.47298,-0.901334,1.78476,-1.08293,1.09072,-1.27835,1.99312,1.43698,0.428155,-1.00069,-0.047388,-0.622754,0.621866,-1.16312,-0.923323,-1.49574,-1.8133
0.320000000,-400.189,49.0866,42.1418,13.9462,4.57177,0.111754,1.7287,-2.06417,-1.51066,-2.18886,-2.22104,-2.30155,-1.21907,-0.218389,-2.88467,-2.34246,-2.31975,-1.72842,-0.518332,-1.67367,-1.71419
0.341333333,-403.15,45.0769,40.1136,9.18403,6.15459,1.03357,1.90598,-1.60047,-0.983716,-6.4752,-5.25107,-7.05425,0.762962,-0.519242,-2.41514,-4.50185,-3.02614,-3.52835,-0.683495,-1.86734,-2.00983
0.362666667,-403.63,45.8794,37.3966,11.6886,7.65444,1.14903,1.5371,-0.856278,-2.63039,-6.18938,-4.98871,-3.8736,0.522597,-0.164364,-0.699035,-3.65916,-4.16943,-1.78465,-2.30813,-2.31777,-1.7349
0.384000000,-410.029,43.3243,39.8814,10.8311,6.65732,0.26266,0.814048,-4.51625,-1.45095,-1.23721,-0.727801,-2.9105,-1.55951,-0.307318,-0.603356,-3.195,-1.78782,-1.89165,-2.3353,-2.87173,-1.90719
0.405333333,-406.773,46.0945,39.1686,10.665,4.523,0.241913,0.757847,-2.87679,-2.39926,-4.15032,-2.3977,-1.43428,0.5194,-0.678487,0.590648,1.09626,0.0538203,-0.963998,-1.61176,-1.85246,-0.996911
0.426666667,-398.237,52.3814,40.8821,10.5994,4.16836,1.13238,1.77742,-2.02857,-4.00894,-4.63628,0.125559,-1.03776,-1.08932,0.695952,0.242827,0.395123,-0.178632,-0.633941,-0.914837,0.797482,-2.26917
0.448000000,-400.441,52.3337,41.2003,12.1737,6.69703,-0.541233,3.37408,-3.14572,-3.51287,-2.81747,-0.308089,-1.26236,-0.59584,-1.61603,0.534632,-1.04086,-0.888529,-0.356175,-0.845706,-1.02063,1.34066
