TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-547.914,-15.9646,8.87875,4.01545,4.39909,1.69613,3.28251,5.5636,1.79862,-0.676497,1.75941,2.35237,2.68568,1.95911,0.740378,3.35506,-0.193444,0.134992,0.664418,0.692224,-0.597645
0.021333333,-545.139,-24.6496,0.849896,-0.633478,2.26082,1.50226,2.37725,4.70318,2.2875,1.78836,2.78717,4.22795,2.49395,2.6162,1.46076,1.63558,2.97083,1.41312,0.823166,2.26878,-0.279522
0.042666667,-543.304,-23.1866,1.5532,-0.542194,1.48171,0.535173,0.591357,0.00143833,0.896805,1.57919,3.41709,4.74788,1.59927,0.105497,-1.27704,0.690585,2.10241,0.897468,1.88151,3.06147,3.31576
0.064000000,-542.063,-23.7354,1.87279,-1.73831,3.30236,-0.918729,1.35334,-0.0407473,2.02655,2.75905,4.6984,-0.896371,-0.591209,-0.212216,1.24879,0.0302251,0.780824,-0.40262,1.14867,-0.000200968,0.202558
0.085333333,-549.518,-27.61,3.07951,-0.199724,0.387489,-0.167931,2.3293,1.83027,2.72243,0.633813,2.3294,2.29418,3.40844,2.76673,1.5885,-0.0770999,-0.34737,0.0121287,0.22704,1.88332,1.79328
0.106666667,-542.975,-24.0188,2.29503,1.40661,1.83717,0.521134,0.701219,0.883875,-0.070665,-0.705702,1.38086,2.92788,2.03616,-0.750203,0.259086,0.638287,0.489002,0.119493,-0.105105,-0.152015,0.27218
0.128000000,-548.953,-26.012,-0.24688,-5.43026,-2.84781,-1.99885,0.388392,-0.277712,0.582139,2.36052,2.30865,2.30293,4.34051,3.17845,3.29264,2.17951,2.37852,0.7022,0.120293,-0.792484,0.337594
0.149333333,-547.267,-25.3331,-0.585567,-4.16952,-2.67057,-5.54306,-1.5918,-1.7555,-1.50849,-0.879386,-0.178039,-3.12708,-0.696731,0.508987,0.833619,-0.973276,-0.974611,-0.132225,0.136899,-0.793917,1.15282
0.170666667,-550.941,-28.9531,0.421409,-1.23366,-0.184529,-1.74185,0.65223,0.231441,0.488911,-0.863789,1.38987,1.51705,1.26872,0.786015,1.32929,-0.850332,-0.266282,-0.237513,-1.51446,-0.956261,0.0584449
0.192000000,-333.042,17.4397,6.67342,-1.70582,-3.12023,-2.55011,-0.843417,0.236057,1.30519,2.25737,3.00016,3.14091,2.44879,0.881425,-1.3959,-3.15089,-3.45551,-2.66487,-0.652107,0.778413,1.28666
0.213333333,-352.13,51.2272,10.7528,-10.8073,-9.02733,-1.46257,-2.95194,-2.8372,-3.54664,0.696855,-0.2443,2.08368,-2.26147,0.39652,-2.5902,-2.74962,-4.85908,-2.48773,-4.20246,-1.91465,-1.56014
0.234666667,-350.26,52.2984,11.8702,-10.9158,-8.51577,-2.88207,-4.76115,-4.84368,-2.5001,-0.229712,-4.22609,0.246207,-3.49923,-0.407005,-3.15828,-2.48758,-1.33447,-2.99821,-5.60284,-0.717467,0.026463
0.256000000,-353.035,52.3114,13.5084,-11.5116,-9.57813,-3.5174,-6.46967,-1.99639,-1.31236,-0.695411,-1.49153,1.36352,-1.11412,-2.57929,-4.23438,-1.32961,-2.64992,-2.41544,-4.88658,-0.936936,-1.44146
0.277333333,-353.857,52.475,13.3151,-12.2493,-9.52312,-1.74794,-4.93999,-1.60861,-2.16555,-0.328912,-1.21905,0.58864,-2.38069,-1.1683,-6.0227,-2.85968,-3.75991,0.0632866,-1.46317,-1.14144,-2.02759
0.298666667,-350.609,50.9721,10.6936,-14.594,-9.87121,-3.89967,-6.26635,-3.20541,-1.1772,1.10818,-2.81963,-3.96413,-2.6058,-0.745687,-1.88723,-0.969137,-5.15591,-3.88547,-3.58712,-3.07298,-1.60193
