TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.021333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.042666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.064000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.085333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.106666667,-833.817,-7.77758,7.06754,-5.6848,-3.46355,3.46101,-3.56609,-0.465171,4.40767,-4.33941,1.01287,2.5954,-0.505343,-0.515457,1.96351,-0.442457,-1.44058,1.03999,-1.29815,-0.46232,0.609285
0.128000000,-546.835,-23.8443,2.0931,0.0220878,2.82169,1.10476,0.253949,3.21581,4.43842,3.55563,4.18916,2.86816,1.53731,4.93606,1.92445,3.35575,1.03147,0.894398,0.100685,0.439882,0.380592
0.149333333,-542.756,-25.8629,-1.49097,-3.14913,-0.204936,0.0298829,2.14411,2.31221,2.41504,3.62185,1.45896,3.10757,3.65584,4.25756,5.15532,3.38191,2.45104,2.73383,0.388028,0.978045,-1.0287
0.170666667,-532.94,-25.3469,4.75662,-3.25295,0.937665,-1.63874,1.29148,-0.869229,0.156127,1.51874,1.93055,1.00008,1.11864,0.782846,0.865877,-0.627047,-0.0144961,-0.49374,0.691861,1.67166,2.57195
0.192000000,-535.915,-27.061,2.45281,-1.80658,2.61149,-1.68517,1.94347,0.78239,4.87444,2.40981,0.920175,1.57391,4.24499,2.96338,0.723486,0.4321,0.73045,-0.223008,-0.140152,-0.829974,1.29136
0.213333333,-533.46,-27.9353,2.3383,-0.82814,2.9826,0.853051,3.23318,2.34808,2.12493,-0.823722,1.34772,2.43569,6.11971,2.10628,2.05303,-0.865266,-1.3555,-2.13666,-1.19936,0.269207,1.98508
0.234666667,-534.092,-26.2991,3.43035,-3.66639,2.28801,-0.392801,1.05213,1.1851,2.47547,1.14643,4.40256,2.72784,0.538364,1.65647,3.45991,2.98865,0.690281,-0.181778,-2.84271,-1.56088,2.51872
0.256000000,-524.476,-21.8441,2.39603,-7.27349,-0.252835,-0.516342,1.71476,-0.107325,2.1919,0.91572,1.38612,0.396768,2.22503,1.29646,-1.87942,-2.40668,-0.146828,2.40544,2.11178,-0.223544,0.420015
0.277333333,-521.335,-21.268,0.810933,-2.99852,-1.43139,-0.260879,2.17105,-1.60275,-1.6169,-1.56818,0.553775,2.11534,3.2594,0.022045,-0.891364,-1.08152,4.4677,2.55192,2.06164,0.168509,1.83428
0.298666667,-476.878,-6.49717,16.3167,11.5311,-3.2932,-2.72455,1.52788,-3.42995,0.632906,-2.45878,-1.46284,0.430516,0.676817,-1.94903,1.56097,2.85113,-2.40396,0.882299,1.78848,-1.87354,1.16106
0.320000000,-183.05,4.61234,12.0773,-2.72901,2.94206,12.1428,-9.02398,12.6357,-4.10015,-0.633114,1.37067,0.840718,-3.85487,2.7083,-3.6876,0.0625034,0.359104,-0.794344,-3.76219,-0.335985,-3.67821
0.341333333,-205.026,0.520616,22.5748,3.87201,0.74468,10.9218,-4.19009,13.2677,-1.40256,4.45199,0.465272,-1.77595,-4.29588,4.21751,-5.17111,1.25102,2.48426,-1.11985,-5.42371,0.926133,-3.68358
0.362666667,-222.719,2.63769,20.5618,3.74514,2.2329,12.66,-4.73124,11.0671,-7.08009,0.697065,-1.72788,3.52461,-4.03538,6.53754,-1.31349,3.54988,1.84063,1.47966,-3.91436,3.19792,-0.975988
0.384000000,-243.066,9.90873,22.1121,-3.07321,0.632295,13.0419,-10.0474,13.3173,-7.00799,-1.14457,-0.581895,-1.9679,-7.03266,6.22906,-4.72297,1.24095,0.709468,-1.64804,-3.93453,0.934411,-4.84257
0.405333333,-260.008,17.8511,19.9128,-4.68678,-7.83534,9.19665,-5.31367,7.70556,-11.0005,-1.57934,-3.67205,-2.49315,-5.74005,5.85569,-3.67923,3.67584,-1.31836,2.69932,-2.42588,0.342327,-3.70209
0.426666667,-282.805,28.5323,20.2931,-6.63674,-5.69884,10.964,-3.03018,6.43767,-8.19846,-4.10924,-0.24454,1.12461,-5.3412,0.39071,-2.36362,-0.87525,-0.375665,-0.643273,-3.21649,-1.41849,-2.95598
0.448000000,-317.165,48.7953,18.8338,-15.2488,-4.73871,5.33444,4.35772,-4.07226,-4.98707,-2.44488,-2.03239,-3.8175,-2.83374,-0.511005,-0.917657,-0.835691,0.748299,-1.79875,-2.12196,-2.29051,-2.76881
0.469333333,-320.023,51.5027,19.9724,-18.4022,-2.39658,7.54901,5.46517,-2.94885,-3.39675,-1.32962,-2.43176,-3.99684,-4.42443,-3.67661,-1.26384,-4.13766,-2.35603,-4.27188,-5.56109,-5.00187,-2.88296
0.490666667,-317.029,50.7991,21.8157,-15.2646,-4.23785,7.87567,5.48351,-3.24368,-6.423,-2.3964,-4.43581,-4.09334,-4.85829,-2.38974,-1.18366,-2.48084,-2.63509,-2.1796,-3.64642,-4.75167,-2.13404
