TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0.000347053,0.475239,1.17646,0.0499501,0.036827,1.53789,0.659082,1.06655,1.05616,0.496097,0.216729,1.43709
0.139319728,0.271844,1.19006,0.744847,0.727272,0.329767,2.08915,0.467873,0.351902,0.472534,0.902854,0.0116503,0.584397
0.185759637,0.14604,1.31855,0.242576,2.03005,0.296014,1.60571,0.210238,0.396385,0.244494,0.910382,0.408292,0.454078
0.232199546,0,1.2187,0.129524,2.60859,0.24214,1.01357,0.0250273,0.553755,0.157228,0.405354,0.897327,0.469913
0.278639456,0,1.18206,0.118204,2.87837,0.251209,0.443313,0.0199379,0.789464,0.0792814,0.109164,1.42339,0.310294
0.325079365,0,1.02694,0.164777,2.99027,0.333364,0.0988126,0.0202977,1.50666,0.0796443,0.014875,1.59866,0.13836
0.371519274,0.0168109,1.0322,0.00226346,3.00349,0.0356657,0.0864225,0.0699698,1.94057,0.0646659,0.0148773,1.53181,0.0883985
0.417959184,0.0399095,1.24938,0,2.97012,0.0368031,0.0907004,0.0211954,2.06571,0.0519028,0.0123107,1.59221,0
0.464399093,0.0329762,1.14631,0,2.7446,0.0123086,0.0989805,0.0112544,2.10658,0.0964393,0.027171,1.70915,0.00170101
0.510839002,0.0118322,0.879459,0,2.80042,0.0097157,0.122409,0.00730565,2.12558,0.050012,0.0609705,1.60804,0.0798652
0.557278912,0,1.19627,0.00202327,2.55274,0.185371,0.136043,0.0305419,1.94868,0,0.0128963,1.41764,0.113953
0.603718821,0.00032786,1.65302,0.00113251,1.85395,0.390794,0.148442,1.07079,0.939729,0.0144329,0.711022,1.39555,0.091435
0.650158730,0.00038505,1.31726,0.0276747,1.81248,0.15024,0.140076,2.1102,0.23938,0.159666,1.39813,0.883557,0.145293
0.696598639,0.000239003,1.04471,0.0262326,1.81598,0.0640033,0.132056,2.71271,0.000661539,0.187704,1.48359,0.608506,0.204064
0.743038549,0.0394033,0.845663,0.0304167,1.81445,0.0680762,0.123216,3.01987,0.00540227,0.187341,1.29881,0.609739,0.247432
0.789478458,0.0458746,0.658488,0.0556158,1.81145,0.168245,0.163586,3.28798,0.0267222,0,0.885668,1.01097,0.314799
0.835918367,0.00731881,0.606119,0.182294,1.82624,0.24849,0.228939,3.17643,0.0332638,0.00336176,0.219959,1.86434,0.252467
0.882358277,0.0710613,0.655506,0.126081,1.73539,0.407922,0.11065,3.32124,0.0374994,0,0.0117145,2.12782,0.11232
0.928798186,0.345761,0.713896,0.102258,1.68515,0.259867,0.0675319,3.51322,0.0158043,0,0.00639138,1.82282,0.0839139
0.975238095,0.498593,0.696875,0.0648892,1.66933,0.1855,0.0412981,3.60669,0.00737483,0,0.00437653,1.8008,0
1.021678005,0.437557,0.543317,0.0380388,1.74791,0.196578,0.0339329,3.62046,0.0186514,0.0469194,0.00691897,2.42024,0
1.068117914,0.103264,0.299463,0.0343737,1.7717,0.203948,0.0288911,3.55801,0.0212288,0.0333557,0.00877844,2.86174,0
1.114557823,0,0.0146557,0.0223016,1.76128,0.206421,0.0344369,3.5405,0.0161659,0.0290953,0.0210163,2.9463,0
1.160997732,0,0.0378263,0.122327,1.70394,0.190553,0.0444604,3.43408,0.020202,0.0641935,0.00855794,2.98336,0
1.207437642,0,0.0484984,0.240186,1.70278,0.175908,0.0519127,3.39118,0.0522096,0.0050321,0.0748185,2.98016,0
1.253877551,0,0.0465915,0.323613,1.64907,0.134812,0.0800185,3.23442,0.025345,0.027308,0.0648154,3.05353,0
1.300317460,0.000133727,0,0.686434,1.81665,0.223373,0.115465,2.71268,0.0107827,0.0125624,0.0560852,3.03021,0.00535959
1.346757370,0.000409752,0.00109453,0.820099,1.82492,0.316401,0.284578,2.58555,0.00234171,0.00907581,0.0604213,3.0399,0.0478029
1.393197279,0.000467074,0.000485698,0.621695,1.78105,0.192492,0.259824,2.83189,0,0.0271812,0.0744462,2.90444,0.0641054
1.439637188,0.000397534,0,0.367967,1.7044,0.0288703,0.272567,2.99483,0,0.0704135,0.0849602,2.97802,0.0515749
1.486077098,0.000293663,0,0.191193,1.9084,0.0817085,0.267227,3.06244,0.00451229,0.113916,0.0508409,3.01445,0.0186113
1.532517007,0.000292395,0.0331556,0.100951,1.91314,0.138167,0.233507,3.09755,0.030118,0.122979,0.00443051,2.98094,0.010484
1.578956916,0.000176119,0.0644037,0.0381475,1.77571,0.161921,0.111099,3.26017,0.0224663,0.132791,0.00455528,2.92314,0.00258196
1.625396825,5.94691e-05,0.103075,0.000573852,1.78936,0.171408,0.0430156,3.33448,0.0117961,0.116617,0.0234861,2.82853,0.0125362
1.671836735,1.3077e-05,0.0752104,0.00171116,1.88594,0.189303,0.0166284,3.36435,0.078219,0.0525336,0.073453,2.74606,0
