Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!","Good Luck, Babe!","Chappell Roan",2024-04-05,218423,90,false,,2025-09-22T17:44:20Z,"","Chappell Roan PS/ Island",0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
spotify:track:5r5cp9IpziiIsR6b93vcnQ,"Walking On A Dream","Walking On A Dream (10th Anniversary Edition)","Empire Of The Sun",2008-10-03,198440,87,false,,2025-09-22T17:44:20Z,"","EMI Recorded Music Australia Pty Ltd",0.871,0.701,5,-5.594,0,0.0458,0.257,0.00000752,0.0589,0.716,126.975,4
spotify:track:3ZZyUf7WkhfN1JkQZZ00fI,"People Watching","People Watching","Sam Fender",2024-11-15,311480,63,false,,2025-09-22T17:44:20Z,"","Polydor Records",0.476,0.908,6,-4.569,1,0.068,0.00776,0.000553,0.124,0.649,161.011,4
spotify:track:0ntQJM78wzOLVeCUAW7Y45,"Sex on Fire","Only By The Night","Kings of Leon",2008-09-23,203346,87,false,,2025-09-22T17:44:20Z,"","RCA/Legacy",0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,4
spotify:track:7EkWXAI1wn8Ii883ecd9xr,"Freaks","Freaks","Surf Curse",2021-05-15,147062,86,false,,2025-09-22T17:44:20Z,"indie","Surf Curse",0.345,0.941,9,-9.918,1,0.0466,0.0000384,0.633,0.0511,0.407,179.626,4
spotify:track:6MrLkXsMmHaYt680fhJUAq,"12 to 12","12 to 12","sombr",2025-07-24,242903,83,false,,2025-09-22T17:44:20Z,"","Warner Records",0.656,0.902,11,-2.586,0,0.057,0.0118,0.00000589,0.0949,0.505,123.981,4
spotify:track:0sTlGEld0h8kIPZaKDYUf4,"Notion","Notion","The Rare Occasions",2021-12-02,195120,85,false,,2025-09-22T17:44:20Z,"","Elektra (NEK)",0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,4
spotify:track:3VD30P9pXZq2usG4tSdjBa,"All the Noise","If That Makes Sense","Spacey Jane",2025-05-09,179858,48,true,,2025-09-22T17:44:20Z,"surfrock","Concord Records",0.511,0.899,0,-6.581,1,0.0527,0.00127,0.000688,0.127,0.416,153.081,4
spotify:track:3GZD6HmiNUhxXYf8Gch723,"Lost","channel ORANGE","Frank Ocean",2012-07-10,234093,85,true,,2025-09-22T17:44:20Z,"","Red Zone Entertainment / IDJ",0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,4
spotify:track:7yT4NJt5rgmVoMJMGPULcj,"Backseat","Backseat","Balu Brigada",2025-05-29,383400,66,false,,2025-09-22T17:44:20Z,"","WM Australia",0.345,0.812,1,-5.407,1,0.167,0.000921,0.00248,0.678,0.216,126.065,4
spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,"Feel It Still","Woodstock","Portugal. The Man",2017-06-16,163253,83,false,,2025-09-22T17:44:20Z,"","Atlantic Records",0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4
spotify:track:1xtGpjlpfU9ILjlxUa7UHl,"One Thing","I’m Only F**king Myself","Lola Young",2025-09-19,208840,53,true,,2025-09-22T17:44:20Z,"","Universal-Island Records Ltd.",0.589,0.672,5,-6.592,0,0.13,0.0855,0.0179,0.0792,0.908,195.935,4
spotify:track:2J051fjLklkoPbzOoTAACZ,"Sally, When The Wine Runs Out","Kansas Anymore (The Longest Goodbye)","ROLE MODEL",2025-02-14,218660,82,true,,2025-09-22T17:44:20Z,"bedroompop","Interscope Records",0.678,0.814,1,-6.065,1,0.0294,0.015,0,0.104,0.857,119.974,4
spotify:track:1FrmEoNfKBx7Z6nU05KW5w,"who’s your boyfriend","hickey","Royel Otis",2025-08-22,173426,53,false,,2025-09-22T17:44:20Z,"indie","Ourness / Capitol Records",0.503,0.863,6,-5.887,0,0.0328,0.000269,0.326,0.101,0.843,145.019,4
spotify:track:456WNXWhDwYOSf5SpTuqxd,"Dog Days Are Over","Lungs (Deluxe Version)","Florence + The Machine",2009,252818,82,false,,2025-09-22T17:44:20Z,"barokpop","Universal-Island Records Ltd.",0.501,0.809,7,-5.264,1,0.0938,0.0338,0.00602,0.119,0.258,149.964,4
spotify:track:6GyFP1nfCDB8lbD2bG0Hq9,"Midnight City","Hurry up, We're Dreaming","M83",2011-10-17,243960,81,false,,2025-09-22T17:44:20Z,"","M83 Recording Inc",0.507,0.729,11,-5.399,0,0.0393,0.0182,0.0000014,0.0658,0.272,105.013,4
spotify:track:2GxrNKugF82CnoRFbQfzPf,"i like the way you kiss me","i like the way you kiss me","Artemas",2024-03-19,142514,81,false,,2025-09-22T17:44:20Z,"","Artemas",0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
spotify:track:19kHhX6f6EfLU7rcO3RqjO,"Back On 74","Volcano","Jungle",2023-08-11,209482,80,false,,2025-09-22T17:44:20Z,"","Caiola Records",0.62,0.761,10,-7.282,0,0.175,0.207,0.000147,0.269,0.194,146.003,4
spotify:track:0GO8y8jQk1PkHzS31d699N,"Tongue Tied","Never Trust a Happy Song","GROUPLOVE",2011-09-02,218013,80,false,,2025-09-22T17:44:20Z,"indie","Canvasback/ATL",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
spotify:track:2AYEOC02WLhUiOoaig2SEH,"Out of My League","More Than Just a Dream (Deluxe Edition)","Fitz and The Tantrums",2013-05-07,209386,79,false,,2025-09-22T17:44:20Z,"","Elektra (NEK)",0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,4
spotify:track:5773KSWFzg9kCc8yazjbSt,"Deceptacon","Le Tigre","Le Tigre",1999-10-26,184626,79,true,,2025-09-22T17:44:20Z,"riot grrrl,queercore,electroclash","Mr. Lady Records, Le Tigre Records",0.603,0.864,4,-3.341,0,0.0668,0.055,0.00493,0.0986,0.616,160.488,4
spotify:track:2O9O26335YYVckmRgPKY3s,"Alive","Ice On The Dune","Empire Of The Sun",2013-01-01,204546,79,false,,2025-09-22T17:44:20Z,"","EMI Recorded Music Australia Pty Ltd",0.524,0.882,5,-3.038,1,0.0367,0.108,0.0000011,0.071,0.399,119.94,4
spotify:track:60SvhHtwefT0e2G7i7kOH3,"New Gold (feat. Tame Impala and Bootie Brown)","Cracker Island","Gorillaz;Tame Impala;Bootie Brown",2023-02-24,215149,77,true,,2025-09-22T17:44:20Z,"neo-psychedelisch,indie","Parlophone UK",0.695,0.923,1,-3.93,0,0.0522,0.0425,0.0469,0.116,0.551,108.014,3
spotify:track:3HlK8txWAdtKMrbsqX40pl,"Freaking Out the Neighborhood","2","Mac DeMarco",2012-10-16,173888,77,false,,2025-09-22T17:44:20Z,"indie,lo-fi indie","Captured Tracks",0.565,0.832,8,-5.751,0,0.108,0.0638,0.0288,0.386,0.847,143.303,4
spotify:track:7d23MhPFE9eB3U8DPRirnL,"Disparate Youth","Master of My Make-Believe","Santigold",2012-04-16,284400,77,false,,2025-09-22T17:44:20Z,"","Atlantic Records UK",0.642,0.931,1,-4.142,1,0.0417,0.0131,0.825,0.215,0.548,152.005,4
spotify:track:57Xjny5yNzAcsxnusKmAfA,"Reptilia","Room On Fire","The Strokes",2003-10-28,219826,76,false,,2025-09-22T17:44:20Z,"garagerock,indierock,alternative rock","RCA Records Label",0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4
spotify:track:7srqyRb5plksW5k65itXDB,"Girl, so confusing featuring lorde","Brat and it’s completely different but also still brat","Charli xcx;Lorde",2024-10-11,205938,76,false,,2025-09-22T17:44:20Z,"hyperpop,art pop","Atlantic Records",0.707,0.8,11,-5.567,0,0.0544,0.128,0.0000259,0.3,0.354,124.991,4
spotify:track:61OJxhoY3Ix50rYVKo8zRK,"Can I Call You Tonight?","Fuzzybrain","Dayglow",2019-11-14,278769,76,false,,2025-09-22T17:44:20Z,"indierock","Very Nice Records",0.641,0.842,9,-7.27,1,0.0292,0.134,0.911,0.419,0.499,129.978,4
spotify:track:53IRnAWx13PYmoVYtemUBS,"Femininomenon","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,219710,76,true,,2025-09-22T17:44:20Z,"","Chappell Roan PS/ Island",0.609,0.758,0,-4.885,0,0.0525,0.139,0.00000538,0.11,0.236,124.949,4
spotify:track:4JHg4nNYUJQ5HULcCmI18R,"What You Know","Tourist History","Two Door Cinema Club",2010-03-01,189693,76,false,,2025-09-22T17:44:20Z,"indie,indierock","Kitsune",0.549,0.758,6,-3.991,0,0.0406,0.000673,0.00000679,0.0926,0.822,139.052,4
spotify:track:2B664ulJSVBd6B8SAY3Wux,"Oysters In My Pocket","Oysters In My Pocket","Royel Otis",2022-03-10,162338,75,false,,2025-09-22T17:44:20Z,"indie","House Anxiety / Ourness",0.598,0.924,6,-4.974,0,0.0623,0.0205,0.799,0.17,0.611,168.017,4
spotify:track:6WTFHKrnZpwEBLRS10Ylqs,"misses","14 minutes","Dominic Fike",2024-05-03,74378,75,false,,2025-09-22T17:44:20Z,"","Columbia",0.578,0.509,2,-6.229,1,0.0279,0.13,0.734,0.344,0.586,119.945,4
spotify:track:5PjdC2gMATetx5xdnwGUu7,"i wanna be your girlfriend","i wanna be your girlfriend","girl in red",2018-03-02,204990,74,true,,2025-09-22T17:44:20Z,"bedroompop","world in red",0.541,0.382,7,-14.323,1,0.035,0.0215,0.000836,0.304,0.343,155.901,4
spotify:track:68hYdj3GepWm2R202KhJT7,"1901","Wolfgang Amadeus Phoenix","Phoenix",2009-05-25,193106,74,false,,2025-09-22T17:44:20Z,"indie","Glassnote - VMG",0.604,0.825,0,-5.373,1,0.0428,0.0564,0.0000542,0.192,0.707,144.087,4
spotify:track:5xoUgPXbMNUmoHU0Enwtwq,"She Moves In Her Own Way","Inside In / Inside Out","The Kooks",2006-01-01,169306,74,false,,2025-09-22T17:44:20Z,"indie,indierock","Virgin Records",0.403,0.803,7,-5.363,1,0.0626,0.239,0,0.103,0.814,153.314,4
spotify:track:7hGCCQkdyF1MX6uk339uBS,"What Was That","Virgin","Lorde",2025-06-27,209286,73,false,,2025-09-22T17:44:20Z,"","Universal Music New Zealand Limited",0.603,0.612,0,-6.732,1,0.159,0.352,0.0000268,0.103,0.174,126.612,4
spotify:track:6qZjm61s6u8Ead9sWxCDro,"Elephant","Lonerism","Tame Impala",2012-01-01,211226,73,false,,2025-09-22T17:44:20Z,"neo-psychedelisch,indie","Modular",0.598,0.553,9,-6.742,0,0.0397,0.562,0.157,0.257,0.533,123.075,4
spotify:track:57j65yC2HggQfmYNc6rdOK,"bad idea!","bad idea!","girl in red",2019-09-03,219638,73,true,,2025-09-22T17:44:20Z,"bedroompop","world in red",0.513,0.807,1,-6.095,1,0.0481,0.0289,0.0548,0.246,0.419,162.026,4
spotify:track:1ZLroqJA8qoS5QEeCo0fA7,"Breezeblocks","An Awesome Wave","alt-J",2012-05-28,227080,71,false,,2025-09-22T17:44:20Z,"indie,indierock","Infectious Music",0.611,0.645,5,-7.368,1,0.0378,0.118,0.00115,0.146,0.253,74.99,4
spotify:track:1bCmvezFg5MRcENzCGG1Cy,"Chelsea Dagger","Costello Music","The Fratellis",2006-01-01,215306,71,false,,2025-09-22T17:44:20Z,"","Universal-Island Records Ltd.",0.511,0.815,7,-3.14,1,0.144,0.0491,0,0.0826,0.586,154.514,4
spotify:track:2HKDVLcHYBD8asWWttLU3W,"Kool Aid","Sofa Kings","Royel Otis",2023-03-31,216665,71,false,,2025-09-22T17:44:20Z,"indie","House Anxiety / Ourness",0.56,0.929,11,-3.598,0,0.0522,0.0286,0.11,0.0854,0.792,157.967,4
spotify:track:260Ub1Yuj4CobdISTOBvM9,"Wet Dream","Wet Leg","Wet Leg",2022-04-08,140080,70,false,,2025-09-22T17:44:20Z,"indierock,indie","Domino Recording Co",0.721,0.701,2,-5.941,1,0.0306,0.000927,0.026,0.234,0.892,130.091,3
spotify:track:3GfOAdcoc3X5GPiiXmpBjK,"Song 2","Blur: The Best Of","Blur",2000-10-23,121880,70,false,,2025-09-22T17:44:20Z,"britpop,madchester,alternative rock","Parlophone UK",0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.701,4
spotify:track:34WI9hCaE3AzbOYT9wFXLP,"High And Low","Two Vines (Deluxe)","Empire Of The Sun",2016-10-28,224840,70,false,,2025-09-22T17:44:20Z,"","EMI Recorded Music Australia Pty Ltd",0.512,0.768,1,-4.673,1,0.045,0.0213,0.0000032,0.0918,0.322,126.907,4
spotify:track:7j56HrjR9cGzvekvZY3Faz,"HandClap","Fitz and The Tantrums","Fitz and The Tantrums",2016-06-10,193253,70,false,,2025-09-22T17:44:20Z,"","Elektra (NEK)",0.636,0.836,8,-3.004,1,0.0427,0.00609,0.000157,0.0828,0.715,139.956,4
spotify:track:1eGYO1RzVRdphhWT86DSr9,"Yougotmefeeling","LOVED","Parcels",2025-09-12,183462,70,false,,2025-09-22T17:44:20Z,"indiesoul","PARCELS MUSIC",0.826,0.599,10,-7.55,1,0.0354,0.426,0.00000122,0.234,0.737,125.011,4
